Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,16.2998,17.4353,25.8177,21.3437,14.8082,25.32,21.034,34.1682,15.9589,18.4464,21.0632
2,25.9762,20.4347,26.5819,24.3448,14.847,31.9063,25.7394,36.8785,14.2317,16.9223,23.7863
3,29.0947,19.9681,28.8406,28.4018,22.6311,35.7548,26.1178,37.4197,19.7642,19.8867,26.7879
4,29.7984,21.4502,29.516,30.687,25.7314,36.0436,34.7474,38.6064,22.5067,23.0735,29.2161
5,30.1533,22.4667,29.8814,30.8412,26.3765,36.8762,36.204,39.1952,23.6171,23.3179,29.893
6,30.2358,20.3367,31.1515,31.54,26.4877,37.4301,36.4287,40.1948,24.1091,24.1181,30.2033
7,30.4399,21.5273,32.2605,31.46,27.0015,38.0507,37.2509,40.4535,24.7596,24.692,30.7896
8,30.4246,22.4791,33.01,31.934,28.2004,38.3479,37.7923,41.1095,25.4804,25.1938,31.3972
9,30.7616,22.9637,33.3997,32.7143,28.3305,38.873,38.5218,41.6461,26.801,25.5852,31.9597
10,31.256,21.7364,33.9944,33.1191,29.7588,39.1326,39.9169,41.6577,28.6182,26.054,32.5244
11,31.5345,20.0411,34.3747,33.2387,30.5848,39.466,42.1321,41.862,29.6656,26.036,32.8936
12,31.5509,23.7527,34.8495,33.5862,31.6852,39.5145,43.3512,42.6228,30.7186,26.6162,33.8248
13,31.8828,24.2442,35.8227,33.7804,32.5563,40.2986,44.6256,43.2706,32.8466,27.38,34.6708
14,31.9839,25.3169,36.1511,34.0267,33.2516,40.8249,44.7429,44.1533,34.7978,27.7672,35.3016
15,32.3197,27.5305,36.4496,34.7147,34.3041,41.4261,45.853,44.3216,36.4651,28.5364,36.1921
16,32.5898,28.5912,36.4975,35.1535,35.2015,41.9188,46.2458,44.5396,37.3028,29.3901,36.7431
17,33.1963,29.8011,36.6775,35.275,35.9609,42.1962,46.8571,45.5085,38.4394,29.6989,37.3611
18,34.1148,30.1681,36.6487,35.2506,36.6088,42.7119,47.5289,46.1061,39.3536,30.3895,37.8881
19,35.066,30.934,37.0965,35.3898,36.9855,43.1675,48.3581,46.5443,41.3236,30.8203,38.5685
20,35.5993,32.2903,37.6776,35.817,37.3851,43.3834,49.4264,47.0841,42.0185,31.0128,39.1694
21,35.954,34.4049,38.024,35.9728,37.9959,43.7847,49.6979,47.1795,42.9051,31.0677,39.6986
22,36.0382,36.0443,38.0968,36.636,38.404,44.5071,49.771,47.5833,44.1709,31.384,40.2635
23,36.1288,37.0865,38.9975,36.3987,39.3134,45.6764,49.6788,47.7172,44.8972,31.5409,40.7435
24,36.2112,38.0603,39.5182,36.8198,39.7647,46.1742,49.8385,47.829,45.4738,31.785,41.1475
25,36.7311,38.9832,40.0166,37.6362,40.7756,47.0034,49.9186,47.9088,45.9653,32.079,41.7018
26,36.834,39.5229,40.5782,38.0329,41.7726,47.4859,49.9944,48.6394,46.7794,32.3667,42.2006
27,38.1503,40.9999,41.3421,38.5491,42.1762,47.9677,50.0,49.4612,47.9284,33.0294,42.9604
28,38.644,41.6513,41.7432,39.0925,42.8785,48.8545,50.0,49.7493,48.3188,33.5534,43.4486
29,39.2026,42.4806,41.8159,39.2544,43.7713,49.7079,49.9589,49.8958,48.4905,33.9551,43.8533
30,39.7009,43.3897,42.2959,39.8106,44.6199,49.8903,49.93,49.9646,48.7078,34.4301,44.274
31,39.8345,44.1741,42.3049,40.0974,44.9751,49.837,50.0,50.0,49.215,35.0759,44.5514
32,39.9405,44.3832,42.48,40.2838,45.7988,49.9393,50.0,50.0,49.3572,35.8223,44.8005
33,39.6728,44.7313,42.9811,40.9572,46.0427,50.0,50.0,50.0,49.7233,36.489,45.0597
34,40.358,45.1612,43.6248,41.548,47.6437,49.9204,50.0,49.9568,49.904,36.7585,45.4876
35,40.7461,46.0535,43.834,41.8585,48.4624,50.0,49.8911,49.7061,49.8134,37.2405,45.7605
36,41.1398,46.3588,44.0332,42.9728,48.5662,49.5532,50.0,49.7361,49.9999,37.6348,45.9995
37,41.4751,46.8801,44.3754,43.9995,48.4918,49.5599,49.9228,49.6091,49.9998,38.2133,46.2527
38,42.0098,47.0754,44.6433,44.5149,48.3723,49.724,50.0,49.9416,49.9999,38.3754,46.4657
39,42.3071,47.7702,45.8631,45.0579,48.6547,49.5932,50.0,49.9997,49.8606,38.6847,46.7791
40,42.9565,48.4616,46.3837,45.2691,49.1966,49.7212,49.8236,50.0,49.9823,38.7826,47.0577
