Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,29.2435,34.1034,28.4766,29.922,32.6773,35.5881,45.1691,37.8015,47.1353,25.7771,34.5894
2,29.2435,34.1034,28.4766,31.2836,32.6773,36.3218,45.1691,38.8185,47.1353,25.7771,34.9006
3,30.4623,34.1034,29.8068,31.2836,32.6773,37.0166,45.1691,39.2031,47.1353,25.7771,35.2635
4,30.4623,34.1034,30.8158,31.2836,32.6773,37.0166,45.1691,40.7059,47.1353,25.7771,35.5147
5,30.4623,34.1034,30.8158,31.2836,32.6773,37.9057,45.1691,40.7059,47.1353,25.7771,35.6036
6,30.4623,34.1034,32.2989,32.2063,32.6773,38.5308,45.1691,41.7868,47.1353,25.7771,36.0147
7,30.9385,34.1034,33.5638,32.2063,32.6773,38.5308,45.1691,41.7868,47.1353,26.8188,36.293
8,30.9385,34.1034,33.5638,32.5321,32.6773,38.5308,45.1691,42.4123,47.1353,26.8188,36.3881
9,31.4503,34.1034,34.2878,33.8546,32.6773,40.0978,45.1691,42.4809,47.1353,26.8188,36.8075
10,31.8275,34.1034,35.0311,33.8546,32.6773,40.6622,45.1691,42.4809,47.1353,26.8188,36.976
11,31.8275,34.1034,35.841,33.9808,32.6773,40.6667,45.1691,43.5615,47.1353,26.8188,37.1781
12,31.8275,34.1034,35.841,33.9808,32.6773,41.623,45.2688,43.5615,47.1353,28.1837,37.4202
13,33.2077,34.1034,36.0716,33.9808,34.0486,41.623,46.2516,44.28,47.1353,28.9393,37.9641
14,33.2077,34.1034,36.7193,35.319,36.0881,41.623,46.2516,46.2553,47.1353,28.9393,38.5642
15,33.3065,34.1034,36.7193,35.319,38.7586,42.568,48.2241,46.2553,47.1353,29.4397,39.1829
16,33.4511,34.1034,36.8473,35.319,38.7586,42.568,48.2241,46.2553,47.1353,30.2646,39.2927
17,33.8596,34.1034,36.8473,35.319,38.7586,42.568,48.2241,47.2938,47.1353,30.2646,39.4374
18,34.8286,34.1034,37.4744,35.319,38.7586,43.3853,49.4138,47.2938,47.1353,31.2255,39.8938
19,35.6872,34.1034,37.9307,35.6726,38.7586,43.9519,50.0,47.5522,47.1353,31.2992,40.2091
20,36.0038,34.1034,39.348,36.2341,38.7586,43.9519,50.0,47.5522,47.1353,31.4531,40.454
21,36.0038,35.5973,39.348,36.4903,38.7586,45.7703,50.0,47.5852,47.1353,31.6369,40.8326
22,36.8663,37.0119,39.348,38.2635,38.9894,45.7703,50.0,49.5955,47.1353,31.6369,41.4617
23,36.8663,38.4173,40.8768,38.2635,39.9298,47.2421,50.0,49.5955,47.1353,31.9376,42.0264
24,36.8663,39.7409,40.8768,38.2635,40.743,47.6785,50.0,49.5955,47.1353,32.0595,42.2959
25,38.1778,40.7888,40.9521,38.2635,41.8776,47.6785,50.0,49.5955,47.1353,32.4167,42.6886
26,38.1778,42.127,41.1449,39.8371,42.3154,48.9373,50.0,49.7163,48.2058,32.5406,43.3002
27,39.3316,43.7662,42.6742,39.8371,43.1425,49.8383,50.0,49.9205,48.6339,33.69,44.0834
28,39.3316,43.7662,42.6742,40.1404,43.1425,50.0,50.0,49.9205,49.0987,34.9991,44.3073
29,39.8087,43.7662,42.7095,40.1404,45.189,50.0,50.0,50.0,49.0987,35.2469,44.5959
30,39.8087,44.7669,43.7125,42.0129,45.189,50.0,50.0,50.0,49.4811,35.2469,45.0218
31,40.2305,44.8706,43.7125,42.0129,46.1487,50.0,50.0,50.0,50.0,36.4206,45.3396
32,41.39,44.9593,43.7125,42.0129,46.9744,50.0,50.0,50.0,50.0,37.2107,45.626
33,41.39,45.1646,43.9957,42.843,46.9744,50.0,50.0,50.0,50.0,37.4532,45.7821
34,41.39,47.2951,43.9957,42.843,48.8575,50.0,50.0,50.0,50.0,37.6922,46.2073
35,41.39,47.2951,44.0528,42.843,48.8575,50.0,50.0,50.0,50.0,37.6922,46.2131
36,41.39,47.2951,45.5538,44.2227,49.2512,50.0,50.0,50.0,50.0,38.5679,46.6281
37,42.0782,47.2951,45.6715,45.4571,49.2512,50.0,50.0,50.0,50.0,38.5679,46.8321
38,42.7319,47.2951,45.6715,45.4571,49.2512,50.0,50.0,50.0,50.0,38.5679,46.8975
39,42.7319,48.8569,46.8985,45.4571,49.6909,50.0,50.0,50.0,50.0,39.7362,47.3372
40,44.3608,49.1238,46.8985,45.4571,49.6909,50.0,50.0,50.0,50.0,39.7362,47.5267
