Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,25.5836,18.1604,30.0131,23.3467,21.0469,18.0132,20.3109,22.6717,18.3835,24.6085,22.2138
2,29.2855,22.359,37.3572,33.567,24.9761,23.7568,26.4766,32.7526,21.6837,25.6167,27.7831
3,33.4549,27.2232,47.183,36.4571,26.9144,26.8329,31.634,39.1943,25.3304,26.6372,32.0861
4,34.7202,29.8967,49.5584,37.2366,28.5396,29.6165,35.6537,40.5325,26.7268,28.2059,34.0687
5,35.7459,31.6026,50.0,37.5995,29.5478,31.4756,37.6956,41.6229,28.4942,29.5629,35.3347
6,36.323,32.621,50.0,38.0283,30.0035,32.3098,39.8321,41.8119,29.5988,31.1763,36.1705
7,36.9931,33.5906,50.0,38.6282,30.401,32.9897,40.8441,42.2543,30.587,32.087,36.8375
8,37.8274,35.0766,50.0,39.5371,30.8995,33.5291,41.8305,43.0474,31.1482,32.9241,37.582
9,38.7163,35.93,50.0,40.6378,31.6947,34.354,42.4997,43.9695,31.9003,34.0882,38.3791
10,40.3415,36.7925,50.0,41.3877,32.5013,34.5744,42.8675,44.8407,32.3309,34.9807,39.0617
11,41.6201,37.7014,50.0,42.511,33.2004,35.0041,43.2905,46.1007,32.8445,35.5369,39.781
12,42.3494,38.7081,50.0,43.3553,33.7564,35.2812,44.1124,46.8497,33.7186,36.3411,40.4472
13,42.9653,39.656,50.0,44.2053,34.4879,35.785,45.8106,47.2913,34.5695,36.9336,41.1705
14,43.775,40.5145,50.0,45.3475,34.6935,36.5411,46.6905,47.9042,35.1933,37.7117,41.8371
15,44.3777,41.7763,50.0,46.1364,35.0349,37.3388,47.4327,48.7365,35.4748,38.5034,42.4811
16,45.1473,43.3691,50.0,46.8189,35.9312,38.3433,48.479,49.0029,35.561,38.884,43.1537
17,45.7847,44.276,50.0,47.3263,36.9509,39.2089,49.3106,49.5177,35.8867,39.5007,43.7762
18,46.9814,44.9234,50.0,48.2463,37.8856,39.5817,49.6687,49.9049,36.3644,40.0783,44.3635
19,48.1172,45.7767,50.0,48.904,38.8414,40.1288,49.8895,49.9954,36.9952,40.5077,44.9156
20,48.6339,46.4319,50.0,49.5244,39.6519,40.5633,50.0,50.0,37.8676,41.2034,45.3876
21,49.3987,46.8668,50.0,49.9861,40.3511,41.0526,50.0,50.0,38.433,41.6822,45.777
22,49.816,47.1561,50.0,49.9999,41.4563,41.2935,50.0,50.0,39.2772,42.1867,46.1186
23,50.0,47.5911,50.0,50.0,42.2406,42.0549,50.0,50.0,40.2922,42.6445,46.4823
24,50.0,48.5637,50.0,50.0,43.0711,43.0416,50.0,50.0,41.6162,43.1633,46.9456
25,50.0,49.4274,50.0,50.0,43.6571,43.7395,50.0,50.0,42.2674,43.6391,47.273
26,50.0,49.9426,50.0,50.0,43.9653,44.4358,50.0,50.0,43.1474,44.2068,47.5698
27,50.0,49.9905,50.0,50.0,44.6113,45.8019,50.0,50.0,43.9592,45.2182,47.9581
28,50.0,50.0,50.0,50.0,45.9833,47.335,50.0,50.0,45.1231,46.1377,48.4579
29,50.0,50.0,50.0,50.0,47.061,48.9026,50.0,50.0,46.6484,47.4384,49.005
30,50.0,50.0,50.0,50.0,47.938,49.6895,50.0,50.0,47.8228,48.6719,49.4122
31,50.0,50.0,50.0,50.0,48.4202,49.8363,50.0,50.0,49.5823,48.9474,49.6786
32,50.0,50.0,50.0,50.0,48.9215,49.9499,50.0,50.0,49.9967,49.3377,49.8206
33,50.0,50.0,50.0,50.0,49.5376,49.9869,50.0,50.0,49.9993,49.8438,49.9368
34,50.0,50.0,50.0,50.0,49.9093,50.0,50.0,50.0,49.9998,49.9779,49.9887
35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
36,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
37,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
38,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
39,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
40,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
