Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,33.9041,29.9228,49.2612,37.1138,27.2805,30.892,35.5899,39.1827,27.5574,30.6231,34.1328
2,33.9041,29.9228,49.2612,37.1138,29.3034,30.892,35.5899,39.2576,27.5574,30.6231,34.3425
3,35.0607,31.8747,50.0,37.3912,29.3034,32.1183,35.5899,41.2689,27.5574,30.6231,35.0787
4,36.3904,31.8747,50.0,37.5054,29.5387,32.1183,38.0737,41.936,29.5287,30.6231,35.7589
5,36.3904,32.6173,50.0,38.371,30.6166,32.7945,39.4636,41.936,30.911,31.2165,36.4317
6,36.873,36.1955,50.0,38.371,30.6166,34.0188,41.0017,42.4283,30.911,32.4743,37.289
7,38.2731,36.1955,50.0,40.4105,31.1156,34.2659,42.3938,43.6943,31.8156,34.0339,38.2198
8,39.6514,36.1955,50.0,40.4782,31.6344,34.2659,42.6356,44.4225,31.8156,34.0339,38.5133
9,40.8802,36.2718,50.0,41.4283,32.9971,34.8401,43.5539,45.1398,33.0589,35.1158,39.3286
10,41.5906,37.7846,50.0,43.0984,33.1193,34.8401,44.2897,46.9081,33.0912,35.9747,40.0697
11,42.7826,39.5549,50.0,44.1131,34.407,36.0786,44.2919,46.9081,33.5101,36.3214,40.7968
12,43.3922,39.6351,50.0,45.0169,34.7783,36.0786,45.8106,47.3718,35.4457,37.7678,41.5297
13,44.3168,40.9777,50.0,45.4394,34.9991,36.8201,47.6233,48.948,35.5184,38.567,42.321
14,44.3168,41.7653,50.0,46.5228,34.9991,37.5952,47.8521,49.5165,35.5184,38.567,42.6653
15,45.1858,44.3583,50.0,47.2493,36.244,39.2368,48.7339,50.0,35.5585,39.9243,43.6491
16,47.5173,44.7052,50.0,47.2493,37.72,39.7504,49.4576,50.0,35.8131,40.2247,44.2438
17,47.5173,44.7052,50.0,48.7722,39.1283,39.8348,50.0,50.0,36.7414,40.6175,44.7317
18,48.1692,45.9289,50.0,49.6166,39.1283,40.7355,50.0,50.0,38.2075,40.8516,45.2638
19,49.3924,47.52,50.0,49.9992,39.9338,40.8773,50.0,50.0,38.2075,41.2748,45.7205
20,50.0,47.6631,50.0,49.9998,40.2607,42.3352,50.0,50.0,38.4701,42.589,46.1318
21,50.0,47.6631,50.0,50.0,41.3235,42.3352,50.0,50.0,39.1552,42.589,46.3066
22,50.0,47.6631,50.0,50.0,42.5641,42.3352,50.0,50.0,40.4128,43.0097,46.5985
23,50.0,48.8902,50.0,50.0,43.4038,43.7422,50.0,50.0,41.7792,44.0211,47.1836
24,50.0,50.0,50.0,50.0,44.3173,44.5265,50.0,50.0,42.3301,44.0211,47.5195
25,50.0,50.0,50.0,50.0,44.3173,44.5265,50.0,50.0,43.3631,44.1482,47.6355
26,50.0,50.0,50.0,50.0,45.1434,46.1245,50.0,50.0,44.388,45.606,48.1262
27,50.0,50.0,50.0,50.0,46.3967,48.0357,50.0,50.0,45.7157,46.0677,48.6216
28,50.0,50.0,50.0,50.0,46.5761,49.7474,50.0,50.0,47.0525,47.333,49.0709
29,50.0,50.0,50.0,50.0,48.2633,49.9177,50.0,50.0,47.6799,48.7984,49.4659
30,50.0,50.0,50.0,50.0,48.8308,50.0,50.0,50.0,49.9926,49.5653,49.8389
31,50.0,50.0,50.0,50.0,48.9868,50.0,50.0,50.0,50.0,50.0,49.8987
32,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
33,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
36,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
37,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
38,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
39,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
40,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
