Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,17.9736,16.0215,22.0706,26.858,22.146,26.1632,19.1514,13.4836,24.0912,18.5728,20.6532
2,23.7534,15.0193,26.215,29.4352,24.15,37.045,20.738,18.507,25.9193,19.1465,23.9929
3,26.4171,12.9261,33.0233,31.6541,25.1772,37.8438,21.4162,21.5458,27.6788,18.5895,25.6272
4,24.7695,17.7241,35.5318,33.6677,25.5746,39.0666,23.8401,22.551,29.1223,19.5903,27.1438
5,28.3118,18.8314,36.7595,35.0198,26.3496,40.4726,25.372,23.8724,29.9199,20.1831,28.5092
6,33.0023,19.9296,37.5893,36.7023,27.4805,41.1544,28.6119,24.5868,31.8354,19.6648,30.0557
7,32.9963,20.6052,39.0491,37.6283,27.9947,41.5539,29.1217,25.3609,32.9506,20.4469,30.7708
8,33.7517,21.426,40.5684,38.2322,28.1515,42.5386,29.0736,26.3927,34.5653,22.1076,31.6808
9,35.4745,23.0847,41.4407,39.0406,28.4949,43.1909,29.3685,28.0738,36.1147,23.5487,32.7832
10,36.9065,24.1842,42.503,39.5974,28.995,44.1899,29.8454,29.3174,37.3189,24.826,33.7684
11,37.9702,24.732,43.0906,41.1233,29.9904,44.9812,30.0317,30.8928,38.5091,26.7091,34.803
12,39.1932,25.7408,43.6494,41.8097,30.76,45.7967,30.2819,31.2423,39.2048,27.618,35.5297
13,39.8495,26.8787,43.8425,41.9511,31.4463,47.3966,30.2868,31.843,40.1668,28.4968,36.2158
14,40.6145,27.9758,44.9632,42.2537,32.3455,48.128,30.4552,32.2311,41.5204,29.8708,37.0358
15,41.9615,29.2507,45.0877,43.0099,32.9914,48.5119,31.2263,32.5943,43.2009,31.8165,37.9651
16,43.0811,29.929,46.4081,43.6254,33.5884,48.9306,31.1657,33.7608,44.0501,32.4023,38.6941
17,44.1949,30.7693,46.9024,44.7421,34.1115,49.2202,31.3879,34.5566,44.5796,33.531,39.3995
18,46.3475,31.4143,47.4681,45.2857,34.8448,49.7681,31.2566,34.8447,45.3389,34.6817,40.1251
19,48.0527,32.3028,47.7018,45.8247,35.443,49.9496,31.6568,35.2604,45.7717,35.7112,40.7675
20,48.7201,32.7135,48.192,47.3372,37.1058,49.9319,31.9177,35.473,46.9544,37.1586,41.5504
21,49.2818,33.1602,49.1499,48.8254,39.2355,49.9996,32.2214,35.9191,47.7995,38.4318,42.4024
22,49.8959,33.7088,50.0,49.8735,40.4329,49.8431,32.578,36.4583,48.6401,39.5452,43.0976
23,50.0,34.3972,49.8173,49.9846,42.4245,49.9036,33.0862,36.9231,49.5974,40.5261,43.666
24,49.9762,34.891,50.0,49.7472,43.9224,49.8072,33.6607,37.2067,49.8572,40.4622,43.9531
25,49.8191,35.1908,50.0,49.8736,45.0635,49.9036,34.5021,37.7261,49.9467,40.5961,44.2622
26,49.8221,35.6305,49.8793,50.0,46.0641,49.9557,34.7532,38.2965,50.0,40.8836,44.5285
27,49.9933,35.9454,50.0,50.0,47.275,50.0,34.8818,38.946,49.6723,41.593,44.8307
28,49.8903,35.8714,50.0,50.0,47.5613,50.0,35.2634,39.2307,50.0,42.5721,45.0389
29,49.9894,35.9039,50.0,50.0,48.0363,49.9157,36.2255,39.2149,50.0,43.776,45.3062
30,50.0,36.2002,49.9261,50.0,48.7499,49.9157,36.9168,39.221,50.0,44.6093,45.5539
31,49.8465,36.3666,49.9741,49.9519,49.4624,50.0,37.303,39.3214,50.0,45.7884,45.8014
32,49.9311,36.7451,50.0,49.9402,49.7541,50.0,37.2812,39.3196,50.0,46.3505,45.9322
33,49.8789,36.8611,50.0,49.8967,49.9523,49.9752,37.6402,39.4126,49.8885,46.5854,46.0091
34,50.0,36.9875,50.0,49.9484,50.0,49.9541,38.1846,39.3428,49.9387,48.0207,46.2377
35,50.0,37.4009,50.0,50.0,50.0,50.0,38.546,39.515,50.0,49.6279,46.509
36,50.0,37.7552,50.0,50.0,49.9439,49.9537,38.901,40.55,50.0,49.8044,46.6908
37,50.0,38.1045,50.0,49.8114,49.99,49.9811,39.1096,40.4035,49.812,49.9803,46.7192
38,50.0,38.4931,50.0,49.972,49.8829,49.9923,39.7825,40.9204,49.8347,49.9942,46.8872
39,50.0,38.7247,50.0,50.0,50.0,50.0,41.2069,41.351,50.0,49.9994,47.1282
40,50.0,39.2395,50.0,49.7145,49.8909,49.8281,41.9286,42.5685,49.8125,49.9573,47.294
