Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,33.061,25.4025,35.653,34.5233,27.4521,43.6029,27.7193,22.1532,29.3015,28.6017,30.7471
2,33.061,25.4025,37.3273,34.5233,27.4521,43.6029,27.7193,22.1532,29.3015,28.6017,30.9145
3,33.061,25.4025,37.3273,34.5233,27.4521,43.6029,27.7193,22.4187,30.6389,28.6017,31.0748
4,33.061,25.4025,37.3273,35.0257,27.7855,43.6029,27.7193,24.5127,30.6389,28.6017,31.3678
5,33.061,25.4025,38.1526,37.0291,27.7855,43.6029,29.1532,26.1023,32.0846,28.6017,32.0975
6,33.061,25.4025,39.0274,38.5997,28.4726,43.6029,29.2151,26.1023,33.4959,28.6017,32.5581
7,33.277,25.4025,40.817,38.5997,28.4726,43.6029,29.4715,28.24,34.982,28.6017,33.1467
8,35.1911,25.4025,41.8274,38.7312,28.4726,44.0721,30.0308,28.24,36.4586,28.6017,33.7028
9,36.8182,25.4025,42.6817,40.3538,29.2306,44.2138,30.1229,30.8163,37.3792,28.6017,34.5621
10,37.9983,25.4025,44.676,41.6687,29.9021,46.0777,30.5592,30.9156,39.0785,28.6017,35.488
11,38.5807,26.3971,44.676,43.0525,30.4992,47.376,30.5592,32.3727,41.3521,28.6017,36.3467
12,40.1101,27.1879,45.4124,43.0525,31.6382,48.8987,30.5592,32.3727,41.3521,28.7825,36.9366
13,41.0838,28.8399,45.4124,43.0525,32.5143,48.8987,30.5592,32.8993,41.379,29.353,37.3992
14,42.0556,30.8519,46.8626,43.0525,34.0092,49.4471,31.2207,33.2033,43.0251,31.4581,38.5186
15,42.6732,30.8519,46.8626,44.4185,34.0092,49.4471,31.5589,34.1741,44.8522,32.9887,39.1837
16,44.7721,31.1986,47.0047,45.2519,34.5063,50.0,31.5589,34.6608,44.8522,33.5382,39.7344
17,46.7489,31.6344,49.0935,45.7217,34.818,50.0,31.8482,35.6686,45.0424,34.8332,40.5409
18,49.0244,32.424,49.108,46.9582,36.385,50.0,32.1886,35.6686,45.5964,36.2968,41.365
19,49.605,32.8703,49.108,49.1632,36.385,50.0,32.1886,36.4896,47.4172,37.7307,42.0958
20,50.0,33.4628,50.0,50.0,38.7622,50.0,32.9589,36.7692,48.404,39.7261,43.0083
21,50.0,34.0065,50.0,50.0,41.6328,50.0,32.9589,36.8549,49.4675,39.7261,43.4647
22,50.0,34.5723,50.0,50.0,42.3207,50.0,33.4962,37.9444,50.0,40.7331,43.9067
23,50.0,35.0319,50.0,50.0,43.8308,50.0,34.4204,37.9444,50.0,40.7482,44.1976
24,50.0,35.7085,50.0,50.0,46.3819,50.0,34.7534,37.9444,50.0,40.7482,44.5536
25,50.0,35.9734,50.0,50.0,46.3819,50.0,35.2054,38.2239,50.0,40.7482,44.6533
26,50.0,36.1016,50.0,50.0,47.5031,50.0,35.2054,38.9881,50.0,42.433,45.0231
27,50.0,36.1883,50.0,50.0,48.801,50.0,35.4803,39.3502,50.0,43.804,45.3624
28,50.0,36.2052,50.0,50.0,48.801,50.0,37.0269,39.3502,50.0,44.5811,45.5964
29,50.0,36.2052,50.0,50.0,48.801,50.0,37.16,40.0616,50.0,45.3044,45.7532
30,50.0,36.7187,50.0,50.0,50.0,50.0,37.4741,40.0616,50.0,46.3972,46.0652
31,50.0,36.7187,50.0,50.0,50.0,50.0,37.7684,40.0616,50.0,47.598,46.2147
32,50.0,37.8401,50.0,50.0,50.0,50.0,37.7684,40.1636,50.0,47.598,46.337
33,50.0,37.8401,50.0,50.0,50.0,50.0,38.5734,40.1636,50.0,47.598,46.4175
34,50.0,37.8401,50.0,50.0,50.0,50.0,38.8644,40.1636,50.0,49.9231,46.6791
35,50.0,37.8401,50.0,50.0,50.0,50.0,39.1427,40.8285,50.0,49.9968,46.7808
36,50.0,38.4892,50.0,50.0,50.0,50.0,39.1427,41.0188,50.0,49.9968,46.8647
37,50.0,38.4892,50.0,50.0,50.0,50.0,40.7117,41.0188,50.0,50.0,47.022
38,50.0,39.8806,50.0,50.0,50.0,50.0,41.4016,41.2318,50.0,50.0,47.2514
39,50.0,39.8806,50.0,50.0,50.0,50.0,42.5167,42.7555,50.0,50.0,47.5153
40,50.0,39.8806,50.0,50.0,50.0,50.0,42.5167,43.4733,50.0,50.0,47.5871
