Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,30.5256,29.9435,21.4552,23.1189,31.3977,20.1718,27.43,29.1096,26.7108,17.6158,25.7479
2,40.8796,35.2914,23.7059,25.4809,43.2995,27.8248,32.1966,34.5175,31.5937,19.6317,31.4422
3,44.2167,36.5758,25.1688,27.5437,45.8196,32.1319,37.0123,35.0561,32.4323,20.732,33.6689
4,44.8443,37.0669,32.4013,29.5027,46.2081,34.2497,38.1617,35.787,33.7737,21.5512,35.3547
5,45.7915,38.309,33.4505,30.5344,46.9859,35.1536,38.8819,36.8182,34.6568,22.3664,36.2948
6,46.6239,41.9488,34.8362,31.188,47.3736,36.0911,39.485,38.3895,35.633,23.3859,37.4955
7,47.8007,42.7424,35.821,32.1464,47.8658,38.9013,40.8339,40.0014,36.1432,24.6376,38.6894
8,48.5305,44.0222,36.9711,32.6317,48.9215,40.845,41.8182,41.4048,36.4443,26.0836,39.7673
9,49.3448,45.0783,37.809,33.1542,49.5311,41.7935,43.1789,42.0151,36.9057,27.1561,40.5967
10,49.7857,45.7994,38.9378,33.7547,49.7305,42.9737,44.0594,42.4624,37.6344,29.8957,41.5034
11,49.9452,46.5505,39.7583,34.0111,49.939,44.1613,45.2864,43.1202,37.9711,30.4399,42.1183
12,49.9948,47.5709,40.8372,34.2649,49.9917,45.2897,46.2089,44.7334,38.4135,30.6393,42.7944
13,50.0,48.5165,41.6851,34.5916,50.0,46.3307,47.1094,45.331,39.068,31.3674,43.4
14,50.0,48.9312,42.5112,35.1957,50.0,47.2248,47.554,46.1282,40.2375,31.6779,43.9461
15,50.0,49.4991,42.9376,35.9336,50.0,48.5918,47.9951,47.6565,40.4875,32.1667,44.5268
16,50.0,49.7516,43.4909,36.5612,50.0,49.2042,48.7482,48.7666,40.9436,32.5395,45.0006
17,50.0,49.8802,44.603,37.7969,50.0,49.5241,49.4021,49.335,41.3881,32.6719,45.4601
18,50.0,49.9958,45.3088,38.3544,50.0,49.909,49.6072,49.8496,42.0585,33.1918,45.8275
19,50.0,50.0,46.3574,38.9857,50.0,49.9817,49.7055,49.9451,42.6386,33.7985,46.1412
20,50.0,50.0,47.0398,39.8256,50.0,49.9989,50.0,49.9847,43.1798,34.9144,46.4943
21,50.0,50.0,47.5985,40.8901,50.0,50.0,50.0,49.9987,43.8244,35.5435,46.7855
22,50.0,50.0,48.0812,41.8678,50.0,50.0,50.0,50.0,44.24,36.1173,47.0306
23,50.0,50.0,49.7023,42.8037,50.0,50.0,50.0,50.0,44.767,36.558,47.3831
24,50.0,50.0,50.0,43.5781,50.0,50.0,50.0,50.0,45.6475,36.8577,47.6083
25,50.0,50.0,50.0,44.1439,50.0,50.0,50.0,50.0,46.8598,38.0684,47.9072
26,50.0,50.0,50.0,44.569,50.0,50.0,50.0,50.0,47.7972,39.1849,48.1551
27,50.0,50.0,50.0,45.0398,50.0,50.0,50.0,50.0,48.6338,40.1473,48.3821
28,50.0,50.0,50.0,46.377,50.0,50.0,50.0,50.0,49.3363,41.1222,48.6836
29,50.0,50.0,50.0,46.9357,50.0,50.0,50.0,50.0,49.382,41.5501,48.7868
30,50.0,50.0,50.0,47.6646,50.0,50.0,50.0,50.0,49.5719,41.8914,48.9128
31,50.0,50.0,50.0,48.6525,50.0,50.0,50.0,50.0,49.79,42.7045,49.1147
32,50.0,50.0,50.0,49.1481,50.0,50.0,50.0,50.0,49.9818,43.5388,49.2669
33,50.0,50.0,50.0,49.7835,50.0,50.0,50.0,50.0,49.9997,43.8493,49.3632
34,50.0,50.0,50.0,49.9025,50.0,50.0,50.0,50.0,49.9999,45.037,49.4939
35,50.0,50.0,50.0,49.9959,50.0,50.0,50.0,50.0,50.0,46.2769,49.6273
36,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.6701,49.767
37,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.3146,49.8315
38,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.7586,49.8759
39,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.3784,49.9378
40,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.7209,49.9721
