Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,43.2294,42.3262,32.2762,29.2808,45.595,32.9535,37.8233,35.0899,33.3468,26.1091,35.803
2,44.3726,42.3262,32.2762,29.2808,47.3154,32.9535,37.8233,36.5336,33.9256,26.1091,36.2916
3,45.2032,42.3262,32.2762,29.2808,47.3154,35.0467,38.6244,36.5336,33.9256,26.1091,36.6641
4,45.8326,42.3262,34.1055,30.7843,47.3397,35.2544,38.9328,37.6223,34.8324,26.1091,37.314
5,47.5018,42.3262,34.2125,31.7638,47.3397,36.1702,40.0532,39.2236,36.1514,26.1091,38.0852
6,48.5761,42.4582,37.0127,32.8452,48.2616,39.1551,41.2049,41.2146,36.4686,26.1091,39.3306
7,49.2165,44.1169,37.0127,33.016,49.5879,43.4106,42.0507,42.1505,36.4686,26.1091,40.3139
8,49.2165,45.1149,38.7164,33.0742,49.8983,43.4106,43.5613,42.1505,37.6312,28.0515,41.0825
9,50.0,46.0981,39.4501,33.9062,49.8983,43.4106,43.6886,42.8354,38.2167,30.0814,41.7585
10,50.0,47.1801,39.4501,34.4055,50.0,44.0452,45.6542,43.0846,38.2167,30.6071,42.2643
11,50.0,47.4217,40.4645,34.4055,50.0,46.9635,47.0167,45.1069,38.5244,30.6071,43.051
12,50.0,49.1531,41.9752,34.9252,50.0,46.9635,47.0167,45.2491,39.0479,31.4728,43.5803
13,50.0,49.3627,43.2278,35.4634,50.0,46.9635,47.7883,46.5743,40.555,32.1538,44.2089
14,50.0,49.7907,43.2278,36.2181,50.0,48.8365,48.4361,47.9877,41.2154,32.2145,44.7927
15,50.0,50.0,43.4319,36.7277,50.0,49.7251,49.5224,49.369,41.2154,32.7089,45.27
16,50.0,50.0,45.146,38.1664,50.0,49.8564,49.6319,49.7723,41.2154,32.7089,45.6497
17,50.0,50.0,45.7534,38.1664,50.0,50.0,49.6319,49.9141,42.9579,33.0391,45.9463
18,50.0,50.0,46.8722,39.8642,50.0,50.0,49.6319,50.0,42.9671,33.8694,46.3205
19,50.0,50.0,47.6389,40.4798,50.0,50.0,50.0,50.0,43.262,34.6357,46.6016
20,50.0,50.0,47.9166,40.8796,50.0,50.0,50.0,50.0,44.0426,35.718,46.8557
21,50.0,50.0,48.2373,41.9405,50.0,50.0,50.0,50.0,44.5928,36.4162,47.1187
22,50.0,50.0,50.0,42.763,50.0,50.0,50.0,50.0,44.5928,36.9308,47.4287
23,50.0,50.0,50.0,44.6621,50.0,50.0,50.0,50.0,46.1896,36.9308,47.7782
24,50.0,50.0,50.0,44.6621,50.0,50.0,50.0,50.0,47.7505,38.3188,48.0731
25,50.0,50.0,50.0,44.6621,50.0,50.0,50.0,50.0,47.7505,39.3345,48.1747
26,50.0,50.0,50.0,45.929,50.0,50.0,50.0,50.0,49.2438,40.6869,48.586
27,50.0,50.0,50.0,46.6317,50.0,50.0,50.0,50.0,49.4322,41.8853,48.7949
28,50.0,50.0,50.0,47.9026,50.0,50.0,50.0,50.0,49.5026,41.8853,48.929
29,50.0,50.0,50.0,47.9026,50.0,50.0,50.0,50.0,49.5026,41.9261,48.9331
30,50.0,50.0,50.0,48.5569,50.0,50.0,50.0,50.0,49.9727,43.0335,49.1563
31,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,43.6999,49.37
32,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,43.9781,49.3978
33,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,44.7279,49.4728
34,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,46.9948,49.6995
35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.0343,49.8034
36,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.3764,49.8376
37,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.735,49.9735
38,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.735,49.9735
39,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.9005,49.9901
40,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.9005,49.9901
