Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,22.1628,18.8389,15.5995,11.7278,14.7864,18.0818,20.6211,22.204,24.857,25.2236,19.4103
2,17.5963,17.798,23.5216,11.896,17.1378,26.609,22.4912,22.6162,29.1063,26.9627,21.5735
3,24.1286,17.5981,28.3284,8.0474,18.2596,32.0718,23.1864,24.4392,29.961,31.4856,23.7506
4,28.5623,20.7568,30.2252,10.0506,18.7244,32.5461,24.2414,25.2779,30.0594,33.314,25.3758
5,29.6861,20.3985,30.6465,10.7527,21.5546,32.6589,24.3865,26.6495,31.6165,37.1962,26.5546
6,30.6732,20.2871,31.8944,11.0248,22.5493,32.6753,25.2517,27.1075,32.873,38.1025,27.2439
7,31.9977,23.7009,34.0895,11.085,22.9298,33.3145,24.8911,27.103,33.8334,38.7228,28.1668
8,32.2664,26.0758,34.5258,11.2437,23.0253,34.0046,25.6726,27.66,34.4318,39.795,28.8701
9,32.3801,26.1754,35.0971,11.7243,23.5104,34.2862,27.0187,28.1031,34.6763,40.6242,29.3596
10,32.4172,26.7643,35.7462,11.9565,23.8219,34.7946,27.9554,29.075,35.7167,42.8366,30.1084
11,32.4411,27.0225,36.0219,12.6865,24.2359,35.2358,29.1435,30.0994,36.6777,43.9364,30.7501
12,32.672,27.8524,37.0514,13.6968,24.7543,35.816,30.3787,31.1053,37.6506,44.5116,31.5489
13,32.9804,28.4038,37.7988,14.3326,25.142,36.995,31.2728,33.1644,39.142,44.9265,32.4158
14,33.04,29.0066,38.3634,14.9825,25.4869,37.5948,32.6038,33.7725,39.8254,45.3332,33.0009
15,33.1919,29.8448,38.5331,15.1969,26.1393,37.9415,33.1006,34.1204,41.048,46.4236,33.554
16,33.259,30.1171,38.3606,15.427,26.4985,38.429,34.3314,35.1033,41.9762,47.2957,34.0798
17,33.3747,30.5355,39.2248,15.6649,26.9333,39.0594,35.1819,35.6509,42.5599,47.2395,34.5425
18,34.0239,30.6284,39.6474,16.0192,27.3038,39.7447,35.812,35.9211,43.0691,47.5671,34.9737
19,34.5316,30.4767,40.1755,16.4201,27.6416,39.918,36.2463,36.5256,44.0766,48.2059,35.4218
20,34.8972,31.3452,40.5246,16.7413,28.3511,40.2202,36.7322,36.8092,44.3059,48.3045,35.8231
21,35.0156,31.8449,41.4423,17.3543,28.5848,40.3324,37.0849,37.0607,44.4623,48.312,36.1494
22,35.1957,32.2497,42.3553,17.755,29.0012,40.8817,37.4082,37.6752,44.962,48.4274,36.5911
23,35.4201,32.2948,42.9732,18.4584,29.6835,41.3073,37.5807,38.0417,45.7659,48.2571,36.9783
24,35.5931,32.5959,43.2167,19.5182,30.1794,41.639,38.6406,37.9391,47.1682,48.5575,37.5048
25,35.6782,32.8059,43.5578,20.343,30.4302,41.8849,39.7464,38.1658,47.5292,48.6371,37.8778
26,35.8576,33.3397,43.5569,20.389,30.8339,42.4134,40.2934,38.6419,47.8092,48.9297,38.2065
27,35.8214,33.6787,44.08,20.5676,30.7937,43.0299,40.6768,39.4731,48.3134,49.1233,38.5558
28,35.6757,33.6457,44.1161,20.9486,31.3717,43.6679,41.0234,39.7534,48.7937,49.5052,38.8501
29,35.9187,34.1923,44.7105,21.0856,31.6954,43.9186,41.6571,39.7479,49.4688,49.8324,39.2227
30,36.6748,34.4926,45.5272,21.7195,32.7585,45.1576,42.3166,40.0988,49.9364,49.6989,39.8381
31,37.7668,34.8155,46.1107,22.4236,33.5304,46.7512,43.1768,40.9744,49.8277,50.0,40.5377
32,38.5157,35.8047,47.3142,23.6192,34.1675,47.8133,43.0762,41.6276,49.9902,49.4414,41.137
33,39.1954,36.6162,48.1479,24.5132,34.633,48.6337,43.4929,42.0103,50.0,49.8319,41.7074
34,39.3681,36.9864,48.9012,25.0903,35.1634,49.245,43.8556,42.2698,50.0,49.9,42.078
35,39.7119,37.0914,49.4932,25.919,35.3573,49.5747,44.7293,42.6306,50.0,50.0,42.4507
36,39.7633,37.2909,49.8148,26.7186,35.8087,49.7727,45.021,43.2602,50.0,50.0,42.745
37,40.4062,37.8536,50.0,27.552,36.5664,49.8776,45.5629,44.0953,49.9366,49.8257,43.1676
38,41.1138,38.5595,49.7502,28.6001,37.729,49.9488,46.2001,44.9912,50.0,49.9464,43.6839
39,42.0076,39.3384,49.9212,29.7446,38.9182,49.9765,46.7783,45.3599,50.0,50.0,44.2045
40,42.5849,40.0543,50.0,30.9586,39.947,50.0,47.2114,45.5462,50.0,49.7774,44.608
