Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,29.4479,26.0982,32.2062,32.1825,29.4841,38.9708,27.7335,41.6042,30.9359,38.2078,32.6871
2,29.4479,26.0982,32.2062,32.1825,29.4841,38.9708,28.1177,41.6042,30.9359,38.2078,32.7255
3,29.4479,26.0982,32.2062,32.1825,29.4841,38.9708,28.1177,41.6042,31.3019,38.2078,32.7621
4,30.4385,26.0982,32.4642,32.1825,29.4841,38.9708,28.1177,41.6042,31.3019,38.2078,32.887
5,32.1605,26.0982,32.4642,32.1825,29.4841,38.9708,28.1177,41.6042,33.7688,38.2615,33.3112
6,32.1605,26.0982,34.6609,32.1825,29.4841,38.9708,28.1177,41.6042,34.4281,39.1685,33.6875
7,32.228,26.0982,34.7834,32.1825,29.4841,38.9708,28.1177,41.6042,35.17,41.4702,34.0109
8,32.5438,26.3977,34.7834,32.1825,29.4841,38.9708,28.1177,41.6042,35.17,42.1789,34.1433
9,32.8224,26.3977,35.9434,32.1825,29.4841,38.9708,28.1177,41.6042,36.2738,42.9982,34.4795
10,32.8224,28.1735,36.6306,32.1825,29.4841,38.9708,30.0939,41.6042,36.6135,43.7895,35.0365
11,32.8224,28.1735,36.6306,32.1825,29.4841,38.9708,30.57,41.6042,37.6364,44.758,35.2833
12,33.5553,29.1476,38.5181,32.1825,29.4841,38.9708,31.5548,41.6042,39.5633,46.8578,36.1438
13,33.5553,29.1476,38.5181,32.1825,29.4841,38.9708,33.3959,41.6042,40.5818,47.0386,36.4479
14,33.5885,30.0855,38.8229,32.1825,29.4841,38.9708,33.3959,41.6042,41.6909,47.0386,36.6864
15,33.5885,30.2098,39.5379,32.1825,29.4841,39.5289,33.6727,41.6042,44.3184,47.0386,37.1166
16,33.5885,30.8023,39.5379,32.1825,29.4841,39.5289,35.9684,41.6042,44.3184,48.3243,37.5339
17,34.3096,31.584,39.6583,32.1825,29.4841,40.6612,36.3403,41.6042,44.3184,48.3243,37.8467
18,35.1405,31.584,40.6707,32.1825,29.4841,40.6612,37.1025,41.6042,44.3184,48.3243,38.1072
19,35.1405,31.584,41.1199,32.1825,29.4841,40.6612,37.1025,41.6042,45.7229,48.3599,38.2962
20,35.3869,31.9424,41.7063,32.1825,29.4841,41.5305,37.1515,41.6042,45.7229,48.4372,38.5148
21,35.3869,32.2759,43.1007,32.1825,29.4841,41.5305,37.9494,41.6042,45.7229,48.4372,38.7674
22,35.5754,32.6272,43.1007,32.1825,29.4841,41.6904,37.9494,41.6042,46.2781,48.4979,38.899
23,35.5754,32.6272,43.7707,32.1825,30.3145,41.6904,39.6522,41.6042,47.7591,48.5021,39.3678
24,37.1569,33.4083,45.3889,32.1825,30.3145,42.9543,40.5538,41.6042,48.1438,49.2441,40.0951
25,37.1569,33.4083,45.3889,32.1825,31.2807,43.0576,41.8932,41.6042,48.7504,49.2441,40.3967
26,37.1569,34.0915,45.3889,32.1825,31.2807,43.0576,41.8932,41.6042,48.7504,49.2441,40.465
27,37.1569,35.6163,45.3889,32.1825,31.2807,43.2457,41.8932,41.6042,49.5189,50.0,40.7887
28,37.1569,35.6163,45.3889,32.1825,32.5003,44.8933,41.901,41.6042,50.0,50.0,41.1243
29,37.1569,35.6163,45.707,32.1825,33.0138,45.3418,42.2833,41.6042,50.0,50.0,41.2906
30,37.736,35.6163,45.707,32.1825,34.3405,47.1697,43.6128,41.6042,50.0,50.0,41.7969
31,38.619,35.6163,47.9332,32.1825,34.6458,47.476,43.7078,42.7137,50.0,50.0,42.2894
32,39.7404,36.6439,50.0,32.1825,35.087,49.0467,43.7078,42.7137,50.0,50.0,42.9122
33,40.393,37.0789,50.0,32.1825,35.5983,49.2566,43.9547,42.7137,50.0,50.0,43.1178
34,40.393,37.4862,50.0,32.1825,35.5983,49.6212,44.8621,43.3233,50.0,50.0,43.3467
35,40.4428,37.4862,50.0,32.1825,36.3423,49.6212,45.2327,43.3233,50.0,50.0,43.4631
36,40.4428,38.1541,50.0,32.1825,36.3954,50.0,45.5979,43.9389,50.0,50.0,43.6712
37,41.8279,38.4272,50.0,32.1825,37.8889,50.0,46.9103,45.3914,50.0,50.0,44.2628
38,42.3586,39.2831,50.0,32.1825,38.1055,50.0,47.3774,47.052,50.0,50.0,44.6359
39,42.7831,40.6798,50.0,32.1825,39.8641,50.0,47.3895,47.052,50.0,50.0,44.9951
40,43.6075,40.6798,50.0,32.1825,41.7228,50.0,47.3895,47.052,50.0,50.0,45.2634
