Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,26.5994,22.826,20.6463,20.1322,28.6488,21.6154,23.7056,27.6772,20.9591,16.1659,22.8976
2,34.1473,25.9353,23.2999,24.2978,33.5864,23.8422,26.9248,35.4502,23.1608,20.2376,27.0882
3,38.9128,27.8559,25.3998,25.3657,40.1594,25.2479,28.2387,40.9746,23.4867,22.8756,29.8517
4,40.1661,28.7521,26.8982,26.0169,41.7217,25.9718,31.7995,42.0678,25.0247,25.2024,31.3621
5,41.0614,29.8224,28.2027,26.5427,42.863,26.4525,35.4799,43.9028,26.504,26.3199,32.7151
6,42.5482,31.2647,29.3618,27.4199,44.0649,27.484,37.3353,45.0214,29.5391,27.4276,34.1467
7,44.0947,31.9528,29.851,28.1444,45.4257,28.3589,38.6901,45.9808,30.7936,28.1056,35.1398
8,45.2994,32.548,30.1907,28.7231,46.3103,29.1374,39.3109,47.0649,32.0869,28.4474,35.9119
9,46.7346,33.0263,30.5735,28.886,46.8517,30.5932,39.9587,47.9717,32.7037,28.9411,36.6241
10,48.4072,33.6341,30.8177,29.1183,46.9401,31.2064,40.7383,48.5039,33.5753,29.3641,37.2305
11,49.1424,34.3945,31.1044,29.4643,47.2869,32.3268,41.3342,49.1425,34.2876,29.5349,37.8018
12,49.59,35.5585,31.4272,29.82,47.8075,33.8473,42.0828,49.4765,35.1493,29.8366,38.4596
13,49.7815,36.3115,31.7609,30.1802,48.4647,35.4978,42.4738,49.7724,36.5582,30.1962,39.0997
14,49.8992,36.9176,32.4454,30.4975,48.9192,36.4982,43.0159,49.9959,37.7305,30.6167,39.6536
15,49.9812,37.368,32.7441,30.7499,49.5931,38.2891,43.6217,50.0,38.828,31.0715,40.2246
16,50.0,37.7406,33.3997,31.1056,49.7787,39.0454,44.172,50.0,40.0671,31.7207,40.703
17,50.0,38.0299,33.8412,31.6415,49.8764,40.0507,44.8657,50.0,40.7346,32.0072,41.1047
18,50.0,38.1465,34.1423,32.3685,49.9465,42.025,45.505,50.0,41.0034,32.2479,41.5385
19,50.0,38.6472,34.4814,32.9544,50.0,43.1658,45.7723,50.0,41.6025,32.5903,41.9214
20,50.0,39.1811,34.8881,33.6606,50.0,44.4642,46.3643,50.0,42.3647,33.2582,42.4181
21,50.0,39.7501,35.7301,34.2773,50.0,44.9703,47.1541,50.0,42.8707,34.2335,42.8986
22,50.0,40.2801,36.2564,34.4769,50.0,45.8944,48.0893,50.0,43.4787,34.9521,43.3428
23,50.0,40.8081,36.9772,34.872,50.0,46.6315,48.7389,50.0,43.9235,35.6087,43.756
24,50.0,41.0595,37.733,35.4722,50.0,47.2434,49.1562,50.0,44.7169,36.3945,44.1776
25,50.0,41.5767,38.3583,36.1273,50.0,47.4156,49.5432,50.0,45.2389,36.9622,44.5222
26,50.0,42.1385,39.1749,36.8385,50.0,48.3324,49.7988,50.0,45.4494,37.1619,44.8894
27,50.0,42.7574,40.0652,37.7971,50.0,49.3099,49.9679,50.0,46.0419,37.974,45.3913
28,50.0,42.983,40.8612,38.7008,50.0,49.9837,49.9912,50.0,46.8072,38.5527,45.788
29,50.0,43.6208,41.301,39.2832,50.0,50.0,49.9993,50.0,47.7137,39.1733,46.1091
30,50.0,44.7323,41.7394,40.2961,50.0,50.0,50.0,50.0,47.98,39.8296,46.4577
31,50.0,45.3703,42.126,41.1592,50.0,50.0,50.0,50.0,48.8535,40.6977,46.8207
32,50.0,46.1254,42.4158,41.9263,50.0,50.0,50.0,50.0,49.414,41.3829,47.1264
33,50.0,46.7867,42.9563,42.4629,50.0,50.0,50.0,50.0,49.6653,42.0234,47.3894
34,50.0,47.1919,43.4643,42.9162,50.0,50.0,50.0,50.0,49.8509,42.5774,47.6001
35,50.0,48.1692,44.2666,43.6129,50.0,50.0,50.0,50.0,49.9432,43.7105,47.9703
36,50.0,48.7603,44.6925,44.5784,50.0,50.0,50.0,50.0,49.9674,44.7141,48.2713
37,50.0,49.6757,45.6596,45.5888,50.0,50.0,50.0,50.0,49.984,45.2765,48.6185
38,50.0,49.8515,46.429,46.6397,50.0,50.0,50.0,50.0,49.9999,46.1462,48.9066
39,50.0,49.9513,46.8199,47.4691,50.0,50.0,50.0,50.0,50.0,47.2828,49.1523
40,50.0,49.9854,47.599,48.3048,50.0,50.0,50.0,50.0,50.0,48.7393,49.4628
