Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,40.7625,31.3099,29.2902,26.7415,42.5792,28.764,37.1664,41.4233,27.5547,25.4785,33.107
2,40.7625,31.3099,29.2902,26.7415,42.5792,28.764,37.1664,41.4233,27.5547,25.4785,33.107
3,40.7625,31.3099,29.2902,26.7415,42.5792,28.764,37.1664,43.4569,27.5547,25.4785,33.3104
4,41.5739,31.3099,29.424,26.7415,44.5019,28.764,38.7506,43.7326,28.4188,27.4909,34.0708
5,42.7921,31.3099,29.424,28.5985,44.5019,28.764,38.7506,45.4,29.6661,27.4909,34.6698
6,44.4687,32.6572,29.7143,28.7906,46.8772,28.764,39.0129,46.2169,30.9272,28.0771,35.5506
7,45.861,32.7729,30.5919,28.7906,46.8772,29.661,40.0973,48.19,31.7626,28.7989,36.3403
8,47.0985,33.096,30.7639,29.0548,46.8772,31.1374,40.3837,48.19,33.3935,28.8344,36.8829
9,50.0,34.0099,31.1549,29.1719,46.8772,33.8434,40.8568,49.4102,33.5891,29.4319,37.8345
10,50.0,35.5703,31.1549,29.9582,47.5059,33.8434,41.7385,49.9815,34.4925,29.7518,38.3997
11,50.0,35.5703,31.645,29.9582,48.95,34.5224,41.7385,50.0,35.901,30.1307,38.8416
12,50.0,36.7612,32.2136,30.3758,48.95,36.3079,43.316,50.0,36.6808,30.2171,39.4822
13,50.0,37.0128,32.349,30.905,49.7912,37.4427,43.316,50.0,37.5584,30.5369,39.8912
14,50.0,37.9261,33.6209,30.905,49.7912,37.6775,44.0699,50.0,39.8382,31.7582,40.5587
15,50.0,38.096,33.6209,31.0856,49.7912,40.4966,44.0699,50.0,41.113,32.3697,41.0643
16,50.0,38.096,34.3736,32.0228,50.0,40.5145,46.0443,50.0,41.113,32.5238,41.4688
17,50.0,38.3073,34.6322,32.8332,50.0,41.8531,46.0443,50.0,41.292,32.5238,41.7486
18,50.0,38.3073,34.6322,33.9717,50.0,43.9716,46.0443,50.0,41.292,32.5238,42.0743
19,50.0,39.5357,35.4173,33.9717,50.0,44.7882,46.0443,50.0,43.0373,33.6444,42.6439
20,50.0,40.3753,35.7759,34.6448,50.0,46.9027,48.2902,50.0,43.0373,34.626,43.3652
21,50.0,40.3753,37.3378,34.6448,50.0,46.9027,48.2902,50.0,43.2913,35.7965,43.6639
22,50.0,42.0291,37.3378,34.6448,50.0,46.9027,49.2168,50.0,45.0766,35.7965,44.1004
23,50.0,42.0291,38.1271,36.1113,50.0,46.9693,49.987,50.0,45.0766,36.5064,44.4807
24,50.0,42.0291,38.8111,37.7952,50.0,49.0563,49.987,50.0,45.7853,36.9029,45.0367
25,50.0,42.0291,39.1967,37.7952,50.0,49.0563,49.9941,50.0,45.7853,38.4771,45.2334
26,50.0,43.0884,41.0105,38.2324,50.0,50.0,49.998,50.0,45.7853,38.4771,45.6592
27,50.0,44.5756,41.1603,39.6619,50.0,50.0,50.0,50.0,47.5741,38.4771,46.1449
28,50.0,44.5756,41.8757,39.7165,50.0,50.0,50.0,50.0,47.5741,39.915,46.3657
29,50.0,45.3724,41.8757,40.2183,50.0,50.0,50.0,50.0,48.6374,40.0406,46.6144
30,50.0,46.1407,43.3418,41.8207,50.0,50.0,50.0,50.0,49.0302,41.3018,47.1635
31,50.0,46.1698,43.3418,42.6642,50.0,50.0,50.0,50.0,49.7934,42.1419,47.4111
32,50.0,46.8273,43.3418,42.6649,50.0,50.0,50.0,50.0,50.0,42.1419,47.4976
33,50.0,48.8294,43.3418,43.5285,50.0,50.0,50.0,50.0,50.0,44.0794,47.9779
34,50.0,48.8294,44.2936,44.4639,50.0,50.0,50.0,50.0,50.0,44.7267,48.2314
35,50.0,49.7333,45.3267,45.1115,50.0,50.0,50.0,50.0,50.0,44.7267,48.4898
36,50.0,49.9175,45.3267,46.8962,50.0,50.0,50.0,50.0,50.0,46.5276,48.8668
37,50.0,50.0,47.2841,46.8962,50.0,50.0,50.0,50.0,50.0,46.5276,49.0708
38,50.0,50.0,47.9759,48.8632,50.0,50.0,50.0,50.0,50.0,48.5324,49.5372
39,50.0,50.0,47.9759,49.4199,50.0,50.0,50.0,50.0,50.0,49.4178,49.6814
40,50.0,50.0,49.1442,49.4199,50.0,50.0,50.0,50.0,50.0,49.9939,49.8558
