Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,409.5294,488.8857,307.2945,687.8796,731.5491,687.5871,261.8854,392.8311,573.7244,151.2897,469.2456
2,763.5842,557.5889,492.2836,1145.8837,1086.4337,1178.4516,198.6011,470.8731,1076.0096,283.2624,725.2972
3,890.9847,666.8592,616.4585,1613.7187,1580.2416,1641.8655,220.1695,544.0172,1283.7801,313.9972,937.2092
4,906.5713,762.0548,715.2076,2069.3923,1700.5892,1809.0864,331.8381,570.0658,1406.5569,343.6685,1061.5031
5,1006.8213,838.5107,727.6594,2376.1107,1719.1513,1851.1218,491.5377,620.5171,1564.9806,390.5919,1158.7003
6,1153.6769,962.1972,890.6193,2416.7104,1820.2017,2010.9413,755.6697,652.3965,1709.5924,491.235,1286.324
7,1237.408,1145.5876,1211.3964,2466.943,1921.9298,2048.4762,813.4137,688.9952,1828.0236,557.7656,1391.9939
8,1405.8979,1282.3043,1369.5054,2501.0,2008.6324,2172.5751,800.3124,715.4156,1958.4422,599.872,1481.3957
9,1578.7877,1330.156,1582.3148,2501.0,2031.2627,2208.8414,807.3027,771.4577,2028.0185,627.6536,1546.6795
10,1766.6383,1416.916,1767.0341,2501.0,2074.5615,2259.5559,803.6048,785.4531,2087.5565,751.9512,1621.4271
11,1853.735,1418.3203,1853.0958,2501.0,2152.9597,2297.3075,828.684,866.2819,2112.9876,832.0308,1671.6403
12,1893.4521,1442.4032,1937.5974,2501.0,2229.0403,2322.2709,882.2483,892.6542,2204.9837,915.5849,1722.1235
13,1917.6381,1472.3445,2022.2929,2495.4609,2251.4567,2379.5476,901.0759,894.0741,2336.7389,959.8274,1763.0457
14,2006.0668,1549.9617,2020.8559,2501.0,2383.5697,2415.6294,1065.4223,899.4324,2378.7165,1034.042,1825.4697
15,2100.4453,1597.7431,2089.6431,2492.9239,2460.7031,2472.1579,1104.1927,900.1621,2458.6913,1176.3173,1885.298
16,2159.7604,1635.8883,1988.5165,2501.0,2497.3282,2508.5273,1139.0209,898.2613,2479.186,1588.5746,1939.6064
17,2216.975,1755.5277,2034.1692,2445.9915,2501.4007,2509.0,1233.1812,900.0356,2488.3815,1847.1744,1993.1837
18,2250.0206,1800.2745,2086.7029,2501.0,2505.8557,2509.0,1288.2825,899.0903,2493.9003,2120.3181,2045.4445
19,2358.1472,1872.0359,2145.3071,2481.8709,2509.0,2509.0,1379.7761,900.9986,2500.5086,2280.8296,2093.7474
20,2450.2925,2002.8391,2186.3043,2496.0626,2441.9977,2509.0,1428.74,900.9986,2500.8362,2317.7346,2123.4806
21,2435.7697,2076.623,2287.0613,2501.0,2509.0,2509.0,1414.9461,900.0951,2500.9181,2322.2207,2145.6634
22,2467.4699,2116.8838,2337.132,2437.2807,2346.1758,2509.0,1414.3856,900.783,2467.4127,2336.8517,2133.3375
23,2509.0,2197.769,2402.9913,2367.6201,2509.0,2508.2258,1434.4477,900.8836,2501.0,2355.5244,2168.6462
24,2509.0,2291.1305,2437.6367,2495.0588,2509.0,2509.0,1442.0554,900.6671,2497.2389,2405.8018,2199.6589
25,2431.1989,2325.9132,2475.2385,2501.0,2509.0,2509.0,1484.1309,899.5735,2501.0,2464.9873,2210.1042
26,2413.1914,2408.0959,2430.6394,2495.9678,2487.6178,2509.0,1568.2223,898.8476,2501.0,2492.8456,2220.5428
27,2436.8586,2450.7323,2505.6946,2501.0,2509.0,2500.0028,1663.2054,896.6855,2501.0,2484.7918,2244.8971
28,2489.1006,2438.743,2509.0,2501.0,2509.0,2493.417,1725.0958,900.9986,2477.3605,2509.0,2255.2716
29,2509.0,2422.4517,2481.9283,2501.0,2501.7391,2508.6461,1840.9833,900.9986,2501.0,2506.4285,2267.4176
30,2509.0,2486.0465,2509.0,2501.0,2501.7391,2508.823,1869.0421,900.3537,2501.0,2509.0,2279.5004
31,2509.0,2486.0465,2509.0,2446.506,2509.0,2509.0,1982.2735,900.4118,2501.0,2509.0,2286.1238
32,2509.0,2491.251,2509.0,2497.6995,2509.0,2509.0,2023.1749,900.9893,2501.0,2427.7753,2287.789
33,2509.0,2498.7307,2496.4307,2497.6995,2499.5002,2509.0,2019.5495,900.9986,2500.9466,2509.0,2294.0856
34,2509.0,2501.6648,2509.0,2497.6995,2509.0,2509.0,2043.4213,900.9986,2501.0,2509.0,2298.9784
35,2509.0,2509.0,2488.6028,2501.0,2491.6975,2492.5424,2066.3105,899.0617,2501.0,2509.0,2296.7215
36,2509.0,2507.1579,2484.8426,2501.0,2495.5956,2504.247,2082.093,891.5262,2501.0,2509.0,2298.5462
37,2509.0,2453.8209,2509.0,2501.0,2509.0,2509.0,2136.6932,886.3938,2501.0,2509.0,2302.3908
38,2496.265,2493.1797,2489.1828,2501.0,2496.5142,2499.8305,2181.3437,900.1752,2501.0,2509.0,2306.7491
39,2502.5124,2509.0,2509.0,2501.0,2509.0,2490.661,2218.8826,900.3063,2488.223,2497.9282,2312.6514
40,2459.9105,2509.0,2509.0,2501.0,2509.0,2478.4652,2317.7766,897.6473,2449.6356,2509.0,2314.0435
