Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,1263.5493,705.0073,803.2119,1676.066,1798.102,1730.649,1746.8692,586.4578,1719.5974,1556.5974,1358.6107
2,1263.5493,705.0073,803.2119,2325.4243,1798.102,1750.2834,1746.8692,586.4578,1719.5974,1556.5974,1425.51
3,1263.5493,755.3454,803.2119,2325.4243,1798.102,1851.9516,1746.8692,586.4578,1719.5974,1556.5974,1440.7106
4,1263.5493,1138.876,926.5017,2325.4243,1917.0804,1857.9264,1746.8692,628.4107,1719.5974,1556.5974,1508.0833
5,1285.9609,1138.876,926.5017,2501.0,1917.0804,2019.2932,1746.8692,705.2506,1766.5233,1556.5974,1556.3953
6,1285.9609,1196.8959,1273.9142,2501.0,1917.0804,2171.0311,1746.8692,733.7,1956.9749,1556.5974,1634.0024
7,1459.6711,1274.2623,1690.9762,2501.0,2025.94,2171.0311,1746.8692,733.7,2066.8465,1556.5974,1722.6894
8,1766.7289,1407.5505,1690.9762,2501.0,2142.2884,2265.4808,1746.8692,823.5007,2066.8465,1556.5974,1796.7839
9,1854.9422,1419.797,1738.7821,2501.0,2142.2884,2265.4808,1746.8692,848.7718,2087.4404,1556.5974,1816.1969
10,1898.2157,1503.5,1915.1546,2501.0,2185.7069,2459.0363,1746.8692,900.9986,2166.3562,1556.5974,1883.3435
11,1994.8472,1503.5,1960.2817,2501.0,2302.8774,2459.0363,1746.8692,900.9986,2192.4638,1556.5974,1911.8472
12,1994.8472,1507.1872,1960.2817,2501.0,2327.6294,2459.0363,1746.8692,900.9986,2406.0623,1556.5974,1936.0509
13,1994.8472,1507.1872,2088.5653,2501.0,2392.5922,2509.0,1746.8692,900.9986,2501.0,1556.5974,1969.8657
14,2128.7182,1700.8297,2122.1909,2501.0,2476.4696,2509.0,1746.8692,900.9986,2501.0,1556.5974,2014.3674
15,2129.7486,1783.775,2306.5266,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,1556.5974,2044.4515
16,2259.8882,1783.775,2306.5266,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,1857.4012,2087.5459
17,2388.7499,1800.0342,2306.5266,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,2237.8628,2140.1041
18,2388.7499,1949.8176,2306.5266,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,2299.1514,2161.2113
19,2482.6983,2006.427,2306.5266,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,2509.0,2197.252
20,2509.0,2124.3122,2306.5266,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,2509.0,2211.6707
21,2509.0,2124.3122,2376.9913,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,2509.0,2218.7171
22,2509.0,2216.1687,2418.0512,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,2509.0,2232.0088
23,2509.0,2329.1703,2487.9288,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,2509.0,2250.2967
24,2509.0,2329.1703,2487.9288,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,2509.0,2250.2967
25,2509.0,2477.6069,2509.0,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,2509.0,2267.2475
26,2509.0,2480.6915,2509.0,2501.0,2509.0,2509.0,1746.8692,900.9986,2501.0,2509.0,2267.5559
27,2509.0,2480.6915,2509.0,2501.0,2509.0,2509.0,1833.6892,900.9986,2501.0,2509.0,2276.2379
28,2509.0,2480.6915,2509.0,2501.0,2509.0,2509.0,1833.6892,900.9986,2501.0,2509.0,2276.2379
29,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2033.332,900.9986,2501.0,2509.0,2299.0331
30,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2033.332,900.9986,2501.0,2509.0,2299.0331
31,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2033.332,900.9986,2501.0,2509.0,2299.0331
32,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2033.332,900.9986,2501.0,2509.0,2299.0331
33,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2074.3986,900.9986,2501.0,2509.0,2303.1397
34,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2074.3986,900.9986,2501.0,2509.0,2303.1397
35,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2084.8934,900.9986,2501.0,2509.0,2304.1892
36,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2180.1792,900.9986,2501.0,2509.0,2313.7178
37,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2240.587,900.9986,2501.0,2509.0,2319.7586
38,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2243.1204,900.9986,2501.0,2509.0,2320.0119
39,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2251.3765,900.9986,2501.0,2509.0,2320.8375
40,2509.0,2509.0,2509.0,2501.0,2509.0,2509.0,2455.5353,901.0009,2501.0,2509.0,2341.2536
