Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,600.1186,752.9687,340.8294,501.7057,428.3964,627.1354,1197.0862,421.7235,896.5351,443.9474,621.0446
2,1078.7848,890.7707,376.4277,553.3105,440.557,871.6659,1465.4503,486.3247,1602.9382,532.8062,829.9036
3,1285.1482,1095.16,411.0536,581.0237,561.2165,1191.9675,1604.1525,566.8982,1994.6071,568.6055,985.9833
4,1475.7854,1398.9653,425.5268,635.9746,667.5202,1486.2469,1733.8527,667.7644,2123.2166,689.2483,1130.4101
5,1581.185,1556.8886,449.8566,665.3802,728.0214,1926.1335,2105.9946,721.0418,2206.512,818.4078,1275.9421
6,1680.2259,1645.6676,469.7202,679.4069,912.0879,2291.4151,2484.638,767.1355,2269.129,957.2092,1415.6635
7,1892.6218,1817.1444,492.6709,710.9955,1105.9996,2426.6812,2509.0,794.2811,2285.3929,1145.2208,1518.0008
8,2116.0382,1992.6589,528.949,752.8025,1172.8335,2505.0491,2509.0,818.8313,2348.7826,1467.9087,1621.2854
9,2261.1319,2082.9554,547.0866,806.3137,1387.355,2509.0,2509.0,849.4858,2423.8354,1568.2147,1694.4379
10,2442.1857,2201.9615,573.3883,848.5568,1488.1762,2509.0,2509.0,863.1143,2467.9156,1624.5656,1752.7864
11,2466.3816,2285.3166,638.8747,874.5923,1554.0875,2509.0,2509.0,893.2841,2501.025,1650.0057,1788.1568
12,2490.7773,2408.5656,692.9891,886.5428,1666.3267,2509.0,2509.0,897.5411,2504.2779,1735.1495,1830.017
13,2499.0653,2485.1468,719.8864,894.9628,1746.2812,2509.0,2509.0,899.7914,2509.0,1857.4657,1862.96
14,2500.5093,2494.3361,770.0543,898.3221,1786.5737,2509.0,2509.0,900.5314,2509.0,2001.7071,1887.9034
15,2501.0,2499.8946,840.1442,900.6286,1878.4327,2509.0,2509.0,900.7655,2509.0,2058.8028,1910.6668
16,2501.0,2501.0,875.9108,900.9592,1947.9847,2509.0,2509.0,900.8825,2509.0,2116.7747,1927.1512
17,2501.0,2501.0,896.744,900.9792,2019.7045,2509.0,2509.0,900.9585,2509.0,2191.9002,1943.9286
18,2501.0,2501.0,898.5712,900.9845,2075.298,2509.0,2509.0,900.9633,2509.0,2240.2604,1954.5077
19,2501.0,2501.0,900.0508,900.9849,2087.6887,2509.0,2509.0,900.986,2509.0,2324.4894,1964.32
20,2501.0,2501.0,900.387,900.9849,2126.9014,2509.0,2509.0,900.9914,2509.0,2384.0444,1974.2309
21,2501.0,2501.0,900.5603,900.9849,2158.5278,2509.0,2509.0,900.9979,2509.0,2459.4688,1984.954
22,2501.0,2501.0,900.898,900.9849,2265.3698,2509.0,2509.0,900.9994,2509.0,2484.2821,1998.1534
23,2501.0,2501.0,900.9471,900.9849,2356.2874,2509.0,2509.0,901.0001,2509.0,2501.7933,2009.0013
24,2501.0,2501.0,900.9892,900.9856,2439.2209,2509.0,2509.0,901.0002,2509.0,2506.9219,2017.8118
25,2501.0,2501.0,900.9991,900.9878,2472.2913,2509.0,2509.0,901.0002,2509.0,2509.0,2021.3278
26,2501.0,2501.0,901.0013,900.9915,2479.6141,2509.0,2509.0,901.0002,2509.0,2509.0,2022.0607
27,2501.0,2501.0,901.0016,900.9964,2489.2533,2509.0,2509.0,901.0002,2509.0,2509.0,2023.0251
28,2501.0,2501.0,901.0016,900.998,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2
29,2501.0,2501.0,901.0016,901.0,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2002
30,2501.0,2501.0,901.0017,901.0015,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
31,2501.0,2501.0,901.0017,901.0015,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
32,2501.0,2501.0,901.0017,901.0015,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
33,2501.0,2501.0,901.0017,901.0015,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
34,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
35,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
36,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
37,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
38,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
39,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
40,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
