Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,1564.2834,1357.0269,398.6034,736.5624,755.632,1350.6167,1678.8625,700.1801,1711.0098,541.8843,1079.4661
2,1564.2834,1357.0269,406.4493,736.5624,755.632,1350.6167,1678.8625,700.1801,2228.9733,733.264,1151.1851
3,1655.9309,1450.8296,466.3092,736.5624,755.632,1611.102,1837.652,700.1801,2228.9733,771.6735,1221.4845
4,1712.8873,1540.7325,466.3092,736.5624,755.632,2159.7613,2001.3066,770.9788,2228.9733,841.1095,1321.4253
5,1772.0418,1784.6993,466.393,736.5624,755.632,2442.1254,2509.0,770.9788,2228.9733,919.3112,1438.5717
6,1909.5439,1863.219,515.7385,760.6281,1319.2925,2509.0,2509.0,802.9738,2448.7596,1247.4865,1588.5642
7,2401.6213,2030.545,535.7214,760.6281,1319.2925,2509.0,2509.0,827.0006,2448.7596,1535.3185,1687.6887
8,2401.6213,2123.5349,535.7214,831.8199,1459.0974,2509.0,2509.0,854.313,2448.7596,1594.7205,1726.7588
9,2500.0383,2328.0072,615.2742,874.9098,1632.4018,2509.0,2509.0,899.4076,2509.0,1640.1071,1801.7146
10,2500.0383,2328.0072,615.2742,874.9098,1632.4018,2509.0,2509.0,899.4076,2509.0,1706.4058,1808.3445
11,2500.0383,2494.6144,724.7781,900.9849,1710.3022,2509.0,2509.0,900.9605,2509.0,1713.3988,1847.2077
12,2500.1223,2501.0,724.7781,900.9849,1710.3022,2509.0,2509.0,900.9605,2509.0,1873.637,1863.8785
13,2501.0,2501.0,773.927,900.9849,1880.3399,2509.0,2509.0,900.9605,2509.0,2013.6282,1899.884
14,2501.0,2501.0,885.0952,900.9849,1937.1152,2509.0,2509.0,900.9912,2509.0,2217.4994,1937.0686
15,2501.0,2501.0,900.6563,900.9849,2001.9578,2509.0,2509.0,900.9912,2509.0,2217.4994,1945.109
16,2501.0,2501.0,900.6563,900.9849,2142.1382,2509.0,2509.0,900.9912,2509.0,2241.0479,1961.4818
17,2501.0,2501.0,901.0014,900.9849,2142.1382,2509.0,2509.0,900.9912,2509.0,2241.0479,1961.5164
18,2501.0,2501.0,901.0014,900.9849,2161.999,2509.0,2509.0,900.9912,2509.0,2296.917,1969.0893
19,2501.0,2501.0,901.0014,900.9849,2161.999,2509.0,2509.0,901.0002,2509.0,2480.7721,1987.4758
20,2501.0,2501.0,901.0014,900.9849,2295.0239,2509.0,2509.0,901.0002,2509.0,2509.0,2003.601
21,2501.0,2501.0,901.0014,900.9849,2295.0239,2509.0,2509.0,901.0002,2509.0,2509.0,2003.601
22,2501.0,2501.0,901.0014,900.9849,2461.925,2509.0,2509.0,901.0002,2509.0,2509.0,2020.2912
23,2501.0,2501.0,901.0015,900.9849,2465.3645,2509.0,2509.0,901.0002,2509.0,2509.0,2020.6351
24,2501.0,2501.0,901.0016,900.9917,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.1994
25,2501.0,2501.0,901.0017,901.0015,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
26,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
27,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
28,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
29,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
30,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
31,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
32,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
33,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
34,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
35,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
36,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
37,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
38,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
39,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
40,2501.0,2501.0,901.0017,901.0016,2501.0,2509.0,2509.0,901.0002,2509.0,2509.0,2024.2003
