Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,949.4937,1404.9022,1781.9969,1275.2798,234.7474,1277.4817,651.1267,788.3078,1312.4528,790.1909,1046.598
2,1015.7449,1695.902,1781.9969,1443.5703,247.5321,1277.4817,651.1267,788.3078,1555.3731,790.1909,1124.7226
3,1015.7449,1820.2552,1781.9969,1454.4189,278.5463,1277.4817,651.1267,788.3078,1555.3731,790.1909,1141.3442
4,1015.7449,2027.8175,2496.3037,1502.0886,317.9317,1277.4817,651.1267,788.3078,1860.1375,790.1909,1272.7131
5,1573.6681,2220.3842,2501.0,1839.7411,339.6172,1277.4817,755.2319,875.8341,2135.8783,790.1909,1430.9028
6,1573.6681,2220.3842,2501.0,2449.575,345.304,1277.4817,767.5612,914.4557,2135.8783,800.2364,1498.5545
7,1775.0509,2252.3418,2501.0,2449.575,345.304,1277.4817,767.9839,961.555,2135.8783,860.1555,1532.6326
8,1850.7743,2358.5479,2501.0,2508.6499,345.304,1277.4817,819.5403,961.8648,2135.8783,882.2494,1564.1291
9,1985.3537,2358.5479,2501.0,2508.6499,367.2274,1421.654,869.1574,1036.2871,2135.8783,882.2494,1606.6005
10,2172.5632,2358.5479,2501.0,2509.0,462.3535,1515.3872,891.6757,1036.2871,2347.2076,882.2494,1667.6272
11,2172.5632,2501.0,2501.0,2509.0,522.189,1540.0078,891.6757,1036.2871,2347.2366,892.1416,1691.3101
12,2252.8692,2501.0,2501.0,2509.0,618.9122,1540.0078,900.125,1118.5237,2501.0,900.8122,1734.325
13,2252.8692,2501.0,2501.0,2509.0,683.5287,1710.2147,900.125,1181.9007,2501.0,900.8122,1764.145
14,2252.8692,2501.0,2501.0,2509.0,683.5287,1871.2058,900.125,1246.4215,2501.0,900.8122,1786.6962
15,2297.0779,2501.0,2501.0,2509.0,683.5287,1871.2058,900.1818,1246.4215,2501.0,900.8122,1791.1228
16,2391.6488,2501.0,2501.0,2509.0,683.5287,1871.2058,900.9429,1326.8602,2501.0,900.8122,1808.6999
17,2501.0,2501.0,2501.0,2509.0,690.8407,1871.2058,900.9429,1326.8602,2501.0,900.8122,1820.3662
18,2501.0,2501.0,2501.0,2509.0,818.3259,1871.2058,900.9795,1432.3459,2501.0,900.8122,1843.6669
19,2501.0,2501.0,2501.0,2509.0,818.3259,2043.9924,900.9795,1455.2742,2501.0,900.8122,1863.2384
20,2501.0,2501.0,2501.0,2509.0,837.3835,2043.9924,900.9795,1517.5196,2501.0,901.0004,1871.3875
21,2501.0,2501.0,2501.0,2509.0,837.3835,2043.9924,900.9795,1580.9,2501.0,901.0004,1877.7256
22,2501.0,2501.0,2501.0,2509.0,845.0328,2275.5712,900.9795,1675.5144,2501.0,901.0004,1911.1098
23,2501.0,2501.0,2501.0,2509.0,845.0328,2275.5712,900.9795,1675.5144,2501.0,901.0004,1911.1098
24,2501.0,2501.0,2501.0,2509.0,900.1159,2275.5712,900.9795,1675.5144,2501.0,901.0004,1916.6181
25,2501.0,2501.0,2501.0,2509.0,900.9948,2275.5712,900.9795,1708.9269,2501.0,901.0004,1920.0473
26,2501.0,2501.0,2501.0,2509.0,901.0008,2275.5712,900.9795,1715.5915,2501.0,901.0004,1920.7143
27,2501.0,2501.0,2501.0,2509.0,901.0008,2381.3474,900.9795,1792.2569,2501.0,901.0004,1938.9585
28,2501.0,2501.0,2501.0,2509.0,901.0008,2381.3474,900.9795,1795.9071,2501.0,901.0004,1939.3235
29,2501.0,2501.0,2501.0,2509.0,901.0008,2494.4882,900.9795,1975.5718,2501.0,901.0004,1968.6041
30,2501.0,2501.0,2501.0,2509.0,901.0008,2494.4882,900.9795,2022.7773,2501.0,901.0004,1973.3246
31,2501.0,2501.0,2501.0,2509.0,901.0008,2494.4882,900.9995,2158.6165,2501.0,901.0004,1986.9105
32,2501.0,2501.0,2501.0,2509.0,901.0008,2494.4882,900.9995,2203.3459,2501.0,901.0004,1991.3835
33,2501.0,2501.0,2501.0,2509.0,901.0008,2501.0,900.9995,2434.3666,2501.0,901.0004,2015.1367
34,2501.0,2501.0,2501.0,2509.0,901.0008,2501.0,900.9995,2509.0,2501.0,901.0004,2022.6001
35,2501.0,2501.0,2501.0,2509.0,901.0008,2501.0,900.9995,2509.0,2501.0,901.0004,2022.6001
36,2501.0,2501.0,2501.0,2509.0,901.0008,2501.0,900.9995,2509.0,2501.0,901.0004,2022.6001
37,2501.0,2501.0,2501.0,2509.0,901.0008,2501.0,900.9995,2509.0,2501.0,901.0004,2022.6001
38,2501.0,2501.0,2501.0,2509.0,901.0008,2501.0,900.9995,2509.0,2501.0,901.0004,2022.6001
39,2501.0,2501.0,2501.0,2509.0,901.0008,2501.0,900.9995,2509.0,2501.0,901.0004,2022.6001
40,2501.0,2501.0,2501.0,2509.0,901.0008,2501.0,900.9995,2509.0,2501.0,901.0004,2022.6001
