Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,363.7543,624.4821,516.4393,1104.9006,665.906,425.5044,862.9016,793.6237,744.6211,750.1196,685.2253
2,536.4601,1066.4921,916.3994,1348.4483,1065.9363,730.3447,1714.7575,1218.2288,934.7798,857.7471,1038.9594
3,773.5979,1235.1687,1237.3394,1452.4877,1561.3947,789.9471,2077.3208,1688.2946,1079.7108,880.4157,1277.5677
4,1302.8886,1397.6004,1633.5559,1505.2444,1822.0356,840.8237,2177.601,1964.4277,1270.5414,889.636,1480.4355
5,1887.3105,1514.9693,2071.0009,1559.7759,1949.5286,871.4696,2240.8342,2048.0587,1533.3161,896.4888,1657.2753
6,2032.7292,1580.5063,2223.3575,1764.7398,1976.4996,880.9915,2341.5329,2123.1821,1736.4723,899.3206,1755.9332
7,2111.6891,1659.7832,2312.0218,1837.0133,2064.5874,886.6787,2440.4901,2203.0767,2036.1675,899.5388,1845.1047
8,2204.4831,1710.5978,2349.3395,1947.1319,2179.2002,891.2261,2501.0,2272.5346,2294.3699,900.1933,1925.0076
9,2247.4827,1806.6183,2402.4556,2086.8559,2236.0923,894.5333,2501.0,2359.6199,2412.236,900.7493,1984.7643
10,2282.0592,1862.776,2474.3606,2166.8193,2389.0344,897.2301,2501.0,2407.336,2479.6466,900.7918,2036.1054
11,2384.1032,1911.424,2501.0,2264.009,2451.1873,899.0316,2501.0,2455.2921,2493.0954,900.8201,2076.0963
12,2478.912,2001.8789,2501.0,2403.9072,2468.2508,899.8698,2501.0,2470.9941,2503.9417,900.8415,2113.0596
13,2505.2483,2061.7613,2501.0,2455.2066,2503.2179,900.3807,2501.0,2493.8399,2509.0,900.8415,2133.1496
14,2509.0,2159.5069,2501.0,2493.9446,2509.0,900.6409,2501.0,2500.956,2509.0,900.8571,2148.4906
15,2509.0,2236.1904,2501.0,2501.0,2509.0,900.7623,2501.0,2507.5684,2509.0,900.9291,2157.545
16,2509.0,2310.5637,2501.0,2501.0,2509.0,900.8725,2501.0,2509.0,2509.0,900.9855,2165.1422
17,2509.0,2441.3361,2501.0,2501.0,2509.0,900.9297,2501.0,2509.0,2509.0,900.9976,2178.2263
18,2509.0,2491.4862,2501.0,2501.0,2509.0,900.984,2501.0,2509.0,2509.0,900.9976,2183.2468
19,2509.0,2509.0,2501.0,2501.0,2509.0,900.9951,2501.0,2509.0,2509.0,900.9976,2184.9993
20,2509.0,2509.0,2501.0,2501.0,2509.0,900.997,2501.0,2509.0,2509.0,900.9976,2184.9995
21,2509.0,2509.0,2501.0,2501.0,2509.0,901.0008,2501.0,2509.0,2509.0,900.9976,2184.9998
22,2509.0,2509.0,2501.0,2501.0,2509.0,901.0009,2501.0,2509.0,2509.0,900.9976,2184.9999
23,2509.0,2509.0,2501.0,2501.0,2509.0,901.0011,2501.0,2509.0,2509.0,900.9976,2184.9999
24,2509.0,2509.0,2501.0,2501.0,2509.0,901.0012,2501.0,2509.0,2509.0,900.9976,2184.9999
25,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
26,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
27,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
28,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
29,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
30,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
31,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
32,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
33,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
34,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
35,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
36,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
37,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
38,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
39,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
40,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9978,2184.9999
