Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,759.1661,1072.5339,911.8414,1508.2342,1657.7163,805.0541,2121.2374,1316.5774,1291.5693,875.3187,1231.9249
2,759.1661,1376.364,1500.3149,1508.2342,1657.7163,806.4059,2182.3716,1769.6185,1291.5693,877.5453,1372.9306
3,1248.411,1376.364,2010.2801,1522.8304,1914.8081,860.9621,2195.7994,2090.2663,1291.5693,894.7034,1540.5994
4,2000.284,1526.1734,2260.4801,1640.5535,1943.9414,884.6509,2195.7994,2130.1992,1562.5011,900.4029,1704.4986
5,2000.284,1645.8669,2345.6633,1811.9723,2028.5833,884.6509,2397.2059,2130.1992,1832.3176,900.4029,1797.7146
6,2181.3507,1728.5675,2421.5778,1889.5846,2028.5833,893.7966,2501.0,2249.2765,2157.159,900.785,1895.1681
7,2242.6598,1728.5675,2421.5778,1924.8292,2209.3689,893.8497,2501.0,2347.0115,2479.09,900.785,1964.8739
8,2332.4751,1846.4787,2421.5778,2124.0404,2255.1765,899.3725,2501.0,2451.0876,2479.09,900.785,2021.1084
9,2332.4751,1915.8324,2501.0,2230.1737,2407.1342,899.3725,2501.0,2451.0876,2493.3164,900.8415,2063.2233
10,2500.7821,1964.5792,2501.0,2354.7096,2497.55,900.5663,2501.0,2509.0,2509.0,900.8415,2113.9029
11,2500.7821,2022.4106,2501.0,2501.0,2509.0,900.5663,2501.0,2509.0,2509.0,900.8415,2135.4601
12,2509.0,2087.0999,2501.0,2501.0,2509.0,900.9797,2501.0,2509.0,2509.0,900.8415,2142.7921
13,2509.0,2167.4335,2501.0,2501.0,2509.0,900.9797,2501.0,2509.0,2509.0,900.8415,2150.8255
14,2509.0,2314.136,2501.0,2501.0,2509.0,900.9797,2501.0,2509.0,2509.0,900.9976,2165.5113
15,2509.0,2314.136,2501.0,2501.0,2509.0,900.9797,2501.0,2509.0,2509.0,900.9976,2165.5113
16,2509.0,2435.069,2501.0,2501.0,2509.0,900.9797,2501.0,2509.0,2509.0,900.9976,2177.6046
17,2509.0,2509.0,2501.0,2501.0,2509.0,901.0007,2501.0,2509.0,2509.0,900.9976,2184.9998
18,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
19,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
20,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
21,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
22,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
23,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
24,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
25,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
26,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
27,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
28,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
29,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
30,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
31,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
32,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
33,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
34,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
35,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
36,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
37,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
38,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
39,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9976,2184.9999
40,2509.0,2509.0,2501.0,2501.0,2509.0,901.0015,2501.0,2509.0,2509.0,900.9994,2185.0001
