Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,425.5159,377.3003,437.237,358.1922,326.5732,809.3254,270.9603,532.2552,232.8848,751.8572,452.2101
2,524.1595,817.5649,497.7443,477.0969,438.652,1139.5204,460.3572,1396.6272,395.0789,828.5225,697.5324
3,631.5326,1174.8039,646.215,437.9865,562.5722,1624.3146,592.9625,1563.8676,462.0341,997.796,869.4085
4,671.174,1448.6268,684.3923,520.584,604.5705,1977.2504,667.1684,1671.7564,488.3257,1143.3679,987.7217
5,657.0549,1608.4405,736.2548,527.9201,744.672,1987.2846,733.9991,1804.4368,492.2677,1253.9913,1054.6322
6,683.9407,1717.9762,765.475,645.9354,887.5495,1963.1079,856.4451,1897.898,534.6413,1406.7365,1135.9706
7,711.7811,1743.6908,777.885,723.415,977.2863,2047.3381,1008.5598,2023.5899,564.0135,1524.3551,1210.1915
8,787.0116,1883.4923,808.1372,822.7405,1059.2284,2092.2803,1120.5278,2139.1044,602.2796,1606.0332,1292.0835
9,871.1466,1984.6538,828.7123,936.054,1099.0496,2112.2125,1305.7315,2210.4032,622.5665,1706.0707,1367.6601
10,1180.9627,2093.6547,830.5871,1018.9236,1119.1434,2111.0826,1511.168,2294.4749,646.9392,1752.5428,1455.9479
11,1363.5955,2252.041,848.592,1061.2878,1116.0646,2168.9775,1535.1522,2395.9785,677.2845,1783.4087,1520.2382
12,1476.8708,2311.5582,853.326,1299.9589,1099.6238,2227.0171,1619.5739,2458.2031,726.1533,1805.0955,1587.7381
13,1495.7707,2360.3494,856.7428,1404.516,1159.0488,2255.6297,1842.8634,2474.3785,770.0814,1863.5748,1648.2955
14,1497.8714,2387.0302,883.7289,1522.3693,1239.2202,2321.0308,2098.7625,2469.479,802.264,1913.628,1713.5384
15,1531.714,2400.3935,891.6139,1551.4674,1313.9323,2366.4235,2239.2678,2421.9505,809.9713,2009.2563,1753.5991
16,1563.3565,2428.8452,898.6216,1608.1801,1347.2939,2462.7596,2401.0531,2509.0,828.3256,2030.878,1807.8314
17,1580.1406,2457.2073,900.1424,1718.9472,1444.8862,2477.9232,2482.204,2509.0,863.6875,2152.8168,1858.6955
18,1605.256,2407.5146,900.1064,1794.7748,1499.5274,2489.1767,2499.3694,2509.0,871.9271,2286.1257,1886.2778
19,1621.6233,2421.4436,900.7615,1868.6915,1542.45,2501.0,2415.0813,2507.4412,874.01,2399.4213,1905.1924
20,1643.2186,2461.2939,900.8302,1852.5545,1575.2588,2501.0,2457.3247,2507.4412,874.6707,2420.9704,1919.4563
21,1760.85,2501.0,900.9979,1925.2951,1579.7416,2501.0,2473.3954,2506.8087,885.3824,2468.69,1950.3161
22,1816.6849,2494.7159,897.0555,1976.9286,1634.0994,2499.2747,2484.2924,2509.0,889.449,2488.7031,1969.0203
23,1849.5488,2501.0,900.6352,2039.8763,1595.1486,2497.5742,2486.1566,2509.0,893.8436,2501.0,1977.3783
24,1886.7662,2497.0641,900.5057,2053.8923,1704.9573,2475.2957,2499.7011,2509.0,898.5458,2478.1793,1990.3907
25,1904.6146,2465.0957,900.3138,2077.9282,1795.1906,2470.2815,2501.0,2509.0,899.3833,2478.1793,2000.0987
26,1977.4373,2446.6501,897.2652,2106.6283,1843.8124,2473.9274,2486.3239,2509.0,900.6142,2501.0,2014.2659
27,2033.3609,2501.0,896.9767,2152.0944,1954.3957,2501.0,2501.0,2509.0,900.3672,2501.0,2045.0195
28,2065.8651,2501.0,900.5144,2183.0427,1998.0221,2501.0,2501.0,2509.0,899.0164,2484.1019,2054.2563
29,2089.9497,2501.0,898.8183,2224.0879,2118.2567,2501.0,2494.8514,2509.0,900.9016,2476.6681,2071.4534
30,2094.851,2496.7881,900.9006,2308.8941,2184.6315,2495.7332,2501.0,2509.0,894.4245,2500.217,2088.644
31,2144.0604,2501.0,900.9931,2448.31,2231.4076,2501.0,2494.9865,2509.0,900.9079,2495.0693,2112.6735
32,2151.4154,2487.4679,900.9966,2482.3345,2294.295,2497.9092,2501.0,2509.0,889.7522,2495.0693,2120.924
33,2175.1244,2497.9865,900.9987,2482.3708,2361.428,2501.0,2501.0,2509.0,900.472,2491.1566,2132.0537
34,2224.4455,2501.0,900.9988,2488.5746,2392.8383,2461.7793,2501.0,2486.978,899.3232,2501.0,2135.7938
35,2309.5725,2501.0,898.2328,2501.0,2461.469,2501.0,2501.0,2509.0,899.1915,2501.0,2158.2466
36,2389.4615,2501.0,900.7122,2480.9174,2492.3472,2501.0,2501.0,2509.0,899.9359,2501.0,2167.6374
37,2456.151,2497.7435,899.4363,2463.3469,2491.4507,2501.0,2501.0,2509.0,900.2187,2488.2436,2170.7591
38,2498.7898,2482.4738,898.7977,2481.5306,2498.3852,2501.0,2501.0,2509.0,900.2187,2493.4017,2176.4598
39,2509.0,2501.0,900.9269,2450.985,2501.0,2501.0,2501.0,2509.0,900.9079,2464.6355,2173.9455
40,2509.0,2501.0,897.6668,2494.93,2501.0,2501.0,2501.0,2509.0,900.9079,2492.2159,2180.772
