Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,668.8388,1059.97,845.3207,961.8647,554.6451,2047.444,692.5396,1614.0347,704.9858,1277.9441,1042.7587
2,668.8388,1059.97,845.3207,961.8647,652.9664,2047.444,792.8855,1614.0347,704.9858,1277.9441,1062.6255
3,668.8388,1577.175,845.3207,961.8647,972.214,2047.444,792.8855,1701.2782,704.9858,1277.9441,1154.9951
4,787.3636,1716.9899,845.3207,961.8647,972.214,2047.444,792.8855,1790.9508,704.9858,1305.6878,1192.5707
5,787.3636,2032.6273,845.3207,961.8647,972.214,2088.7447,927.422,1934.9283,704.9858,1569.0709,1282.4542
6,787.3636,2140.1482,845.3207,961.8647,1130.751,2210.502,1039.5905,2063.7472,704.9858,1569.0709,1345.3345
7,867.9392,2140.1482,845.3207,1000.844,1130.751,2210.502,1200.8011,2066.7457,704.9858,1684.1802,1385.2218
8,867.9392,2140.1482,845.3207,1000.844,1130.751,2210.502,1607.6294,2288.2036,704.9858,1883.0508,1467.9375
9,1124.1184,2140.1482,852.0674,1111.0758,1130.751,2216.804,1607.6294,2288.2036,704.9858,1883.0508,1505.8834
10,1472.4252,2212.2872,852.0674,1119.0368,1242.3142,2216.804,1632.5144,2465.1876,784.4353,1883.0508,1588.0123
11,1472.4252,2368.8726,858.5767,1164.4283,1242.3142,2307.6874,1702.2582,2489.6314,785.4495,1883.0508,1627.4694
12,1588.0129,2368.8726,895.451,1545.7586,1242.3142,2307.6874,1896.3859,2509.0,785.4495,1925.7565,1706.4689
13,1588.0129,2410.8572,895.451,1545.7586,1259.4379,2457.5413,2158.0619,2509.0,821.9235,2059.4163,1770.5461
14,1588.0129,2410.8572,900.9999,1627.6795,1310.1668,2457.5413,2283.9951,2509.0,821.9235,2059.4163,1796.9593
15,1588.0129,2410.8572,900.9999,1627.6795,1406.6498,2501.0,2501.0,2509.0,878.082,2091.9816,1841.5263
16,1588.0129,2501.0,900.9999,1713.6638,1406.6498,2501.0,2501.0,2509.0,878.082,2306.644,1880.6053
17,1588.0129,2501.0,900.9999,1835.6154,1572.0142,2501.0,2501.0,2509.0,878.082,2306.644,1909.3369
18,1770.6494,2501.0,900.9999,1885.3619,1572.0142,2501.0,2501.0,2509.0,878.082,2441.3063,1946.0414
19,1770.6494,2501.0,900.9999,1967.391,1614.6405,2501.0,2501.0,2509.0,878.082,2441.3063,1958.5069
20,1770.6494,2501.0,900.9999,1976.3631,1614.6405,2501.0,2501.0,2509.0,878.082,2441.3063,1959.4041
21,1898.8084,2501.0,900.9999,1976.3631,1614.6405,2501.0,2501.0,2509.0,899.7866,2501.0,1980.3599
22,1898.8084,2501.0,900.9999,2075.1314,1805.9281,2501.0,2501.0,2509.0,899.7866,2501.0,2009.3654
23,1925.0473,2501.0,900.9999,2075.1314,1805.9281,2501.0,2501.0,2509.0,900.9922,2501.0,2012.1099
24,1947.2673,2501.0,900.9999,2075.1314,1978.7181,2501.0,2501.0,2509.0,900.9922,2501.0,2031.6109
25,2091.5248,2501.0,900.9999,2140.7603,1978.7181,2501.0,2501.0,2509.0,900.9922,2501.0,2052.5995
26,2128.9272,2501.0,900.9999,2231.2576,2023.6957,2501.0,2501.0,2509.0,900.9922,2501.0,2069.8873
27,2128.9272,2501.0,900.9999,2325.5087,2074.712,2501.0,2501.0,2509.0,900.9922,2501.0,2084.414
28,2128.9272,2501.0,900.9999,2325.5087,2138.7858,2501.0,2501.0,2509.0,900.9922,2501.0,2090.8214
29,2128.9272,2501.0,900.9999,2338.9367,2160.9612,2501.0,2501.0,2509.0,900.9922,2501.0,2094.3817
30,2128.9272,2501.0,900.9999,2501.0,2314.1734,2501.0,2501.0,2509.0,900.9922,2501.0,2125.9093
31,2288.2054,2501.0,900.9999,2501.0,2314.1734,2501.0,2501.0,2509.0,900.9922,2501.0,2141.8371
32,2288.2054,2501.0,900.9999,2501.0,2417.0539,2501.0,2501.0,2509.0,900.9922,2501.0,2152.1251
33,2288.2054,2501.0,900.9999,2501.0,2474.8515,2501.0,2501.0,2509.0,900.9922,2501.0,2157.9049
34,2311.8485,2501.0,900.9999,2501.0,2474.8515,2501.0,2501.0,2509.0,900.9922,2501.0,2160.2692
35,2461.9264,2501.0,900.9999,2501.0,2501.0,2501.0,2501.0,2509.0,900.9922,2501.0,2177.8919
36,2509.0,2501.0,900.9999,2501.0,2501.0,2501.0,2501.0,2509.0,900.9922,2501.0,2182.5992
37,2509.0,2501.0,900.9999,2501.0,2501.0,2501.0,2501.0,2509.0,900.9922,2501.0,2182.5992
38,2509.0,2501.0,900.9999,2501.0,2501.0,2501.0,2501.0,2509.0,900.9922,2501.0,2182.5992
39,2509.0,2501.0,900.9999,2501.0,2501.0,2501.0,2501.0,2509.0,900.9922,2501.0,2182.5992
40,2509.0,2501.0,900.9999,2501.0,2501.0,2501.0,2501.0,2509.0,900.9922,2501.0,2182.5992
