Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,326.6469,629.7195,561.4325,475.6125,190.9484,372.4741,664.729,353.0604,234.8819,547.1811,435.6686
2,600.2844,657.5686,824.1723,807.4567,221.9107,503.1359,918.7246,607.9214,324.6303,809.9231,627.5728
3,668.7939,945.3085,1548.4043,1061.6082,299.6366,712.1493,1167.1763,671.9378,390.409,1017.532,848.2956
4,776.5203,1476.3041,1889.8459,1778.1785,374.2015,941.1165,1355.6825,722.9597,437.5516,1199.2316,1095.1592
5,989.3813,1840.8659,2034.933,1994.5438,438.0159,972.2684,1596.4402,777.0862,476.4991,1418.29,1253.8324
6,1130.734,2069.5115,2112.4156,2028.5267,495.838,1013.9789,1720.5448,814.2557,521.2038,1634.2456,1354.1255
7,1244.4425,2374.1709,2226.703,2098.3474,536.29,1075.7015,1830.9057,836.3421,575.8224,1691.0205,1448.9746
8,1303.1022,2436.0611,2327.7569,2175.7978,577.6679,1100.2173,1935.0045,861.8988,623.1674,1742.119,1508.2793
9,1390.3944,2471.614,2377.653,2253.9355,635.5256,1172.2082,2041.5538,883.7764,668.7764,1800.1551,1569.5592
10,1450.1059,2486.8446,2420.4509,2295.352,704.2217,1218.9613,2101.8418,891.3054,714.5955,1846.844,1613.0523
11,1500.4692,2503.5449,2463.9919,2331.4598,785.9667,1258.8169,2182.4825,896.1676,763.1608,1905.2538,1659.1314
12,1523.0512,2509.0,2497.6306,2375.6084,824.9177,1285.9922,2234.4916,899.6377,825.8057,1928.4265,1690.4562
13,1545.3305,2509.0,2507.5668,2407.1102,852.8809,1377.5096,2300.7792,900.0085,876.2207,1955.0767,1723.1483
14,1657.8051,2509.0,2509.0,2441.521,872.9229,1409.4893,2308.5289,900.4775,895.5934,1982.432,1748.677
15,1732.1124,2509.0,2509.0,2464.825,886.4945,1430.2378,2328.0606,900.7959,900.8736,2080.2539,1774.1654
16,1800.8827,2509.0,2509.0,2478.0761,891.3214,1487.0965,2389.3505,900.9236,900.9927,2188.9668,1805.561
17,1865.9374,2509.0,2509.0,2489.4034,894.7751,1558.0244,2451.6179,900.9712,901.0002,2329.3438,1840.9073
18,1926.8926,2509.0,2509.0,2500.2995,898.262,1611.6196,2468.7924,900.9828,901.0011,2429.7594,1865.5609
19,2038.8304,2509.0,2509.0,2501.0,900.2671,1649.2472,2488.3164,901.0012,901.0013,2494.6859,1889.235
20,2115.785,2509.0,2509.0,2501.0,900.7625,1700.4757,2491.9284,901.0014,901.0014,2507.0927,1903.7047
21,2194.6267,2509.0,2509.0,2501.0,900.9001,1713.8773,2495.889,901.0016,901.0015,2509.0,1913.5296
22,2272.4866,2509.0,2509.0,2501.0,900.917,1743.2732,2502.086,901.0017,901.0016,2509.0,1924.8766
23,2332.3535,2509.0,2509.0,2501.0,900.9283,1785.2016,2508.0378,901.0017,901.0016,2509.0,1935.6525
24,2389.6721,2509.0,2509.0,2501.0,900.941,1845.115,2509.0,901.0017,901.0016,2509.0,1947.4731
25,2478.0794,2509.0,2509.0,2501.0,900.9427,1897.8793,2509.0,901.0017,901.0016,2509.0,1961.5905
26,2509.0,2509.0,2509.0,2501.0,900.9429,1965.4296,2509.0,901.0017,901.0016,2509.0,1971.4376
27,2509.0,2509.0,2509.0,2501.0,900.9484,2016.6482,2509.0,901.0017,901.0016,2509.0,1976.56
28,2509.0,2509.0,2509.0,2501.0,900.9485,2123.8521,2509.0,901.0017,901.0016,2509.0,1987.2804
29,2509.0,2509.0,2509.0,2501.0,900.9566,2170.4433,2509.0,901.0017,901.0016,2509.0,1991.9403
30,2509.0,2509.0,2509.0,2501.0,900.9618,2213.1242,2509.0,901.0017,901.0016,2509.0,1996.2089
31,2509.0,2509.0,2509.0,2501.0,900.9734,2358.2911,2509.0,901.0017,901.0016,2509.0,2010.7268
32,2509.0,2509.0,2509.0,2501.0,900.9842,2449.844,2509.0,901.0017,901.0016,2509.0,2019.8831
33,2509.0,2509.0,2509.0,2501.0,900.9904,2478.8644,2509.0,901.0017,901.0016,2509.0,2022.7858
34,2509.0,2509.0,2509.0,2501.0,900.9966,2487.9555,2509.0,901.0017,901.0016,2509.0,2023.6955
35,2509.0,2509.0,2509.0,2501.0,900.9971,2498.3418,2509.0,901.0017,901.0016,2509.0,2024.7342
36,2509.0,2509.0,2509.0,2501.0,900.9971,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
37,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
38,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
39,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
40,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
