Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,682.4864,1788.8238,1742.5854,1653.1045,322.7895,667.4663,1514.7144,622.7508,367.3875,1355.8438,1071.7952
2,682.4864,1788.8238,1742.5854,1889.0421,322.7895,667.4663,1514.7144,662.5547,368.5439,1355.8438,1099.485
3,796.148,1788.8238,2127.5917,1889.0421,367.1031,959.9436,1514.7144,743.4686,456.6623,1604.4289,1224.7927
4,1193.6078,1975.9186,2181.6234,2130.2395,432.1469,1162.256,1591.1209,811.8725,513.9319,1604.4289,1359.7146
5,1193.6078,1975.9186,2261.8389,2130.2395,537.0387,1162.256,1796.4727,811.8725,562.732,1604.4289,1403.6406
6,1376.1697,2448.0674,2261.8389,2130.2395,541.9393,1162.256,1953.6081,870.0385,583.8546,1730.5711,1505.8583
7,1439.0749,2509.0,2422.1553,2236.2546,565.003,1165.1615,1987.8272,870.0385,653.557,1776.6716,1562.4743
8,1439.0749,2509.0,2424.1398,2236.2546,691.9005,1165.1615,2153.1551,892.4586,726.9006,1776.6716,1601.4717
9,1474.432,2509.0,2487.3733,2336.8404,780.4847,1331.474,2153.1551,892.4586,757.6848,1916.9011,1663.9804
10,1519.2437,2509.0,2509.0,2392.2094,809.5713,1370.4862,2153.1551,897.8803,757.6848,1929.5842,1684.7815
11,1679.9191,2509.0,2509.0,2441.9305,819.469,1370.4862,2314.8459,900.4782,820.8616,1933.7162,1729.9707
12,1679.9191,2509.0,2509.0,2472.855,876.5864,1370.4862,2314.8459,900.8048,899.8028,1966.2001,1749.95
13,1679.9191,2509.0,2509.0,2474.6253,885.0446,1477.0192,2314.8459,900.8048,901.0016,2115.6088,1776.6869
14,1783.4376,2509.0,2509.0,2501.0,891.3141,1477.0192,2314.8459,900.9087,901.0016,2115.6088,1790.3136
15,1783.4376,2509.0,2509.0,2501.0,900.7413,1477.0192,2468.6252,901.0007,901.0016,2235.5501,1818.6376
16,1938.8551,2509.0,2509.0,2501.0,900.7413,1669.5014,2509.0,901.0011,901.0016,2450.4089,1878.9509
17,2019.0918,2509.0,2509.0,2501.0,900.7413,1669.7495,2509.0,901.0016,901.0016,2498.4977,1891.8083
18,2019.0918,2509.0,2509.0,2501.0,900.9432,1669.7495,2509.0,901.0016,901.0016,2509.0,1892.8788
19,2218.4054,2509.0,2509.0,2501.0,900.9432,1695.0325,2509.0,901.0017,901.0016,2509.0,1915.3384
20,2339.0878,2509.0,2509.0,2501.0,900.9432,1851.7188,2509.0,901.0017,901.0016,2509.0,1943.0753
21,2339.0878,2509.0,2509.0,2501.0,900.9432,1851.7188,2509.0,901.0017,901.0016,2509.0,1943.0753
22,2390.3898,2509.0,2509.0,2501.0,900.9432,1851.7188,2509.0,901.0017,901.0016,2509.0,1948.2055
23,2487.0447,2509.0,2509.0,2501.0,900.9432,1851.7188,2509.0,901.0017,901.0016,2509.0,1957.871
24,2509.0,2509.0,2509.0,2501.0,900.9432,1989.145,2509.0,901.0017,901.0016,2509.0,1973.8091
25,2509.0,2509.0,2509.0,2501.0,900.9432,1989.145,2509.0,901.0017,901.0016,2509.0,1973.8091
26,2509.0,2509.0,2509.0,2501.0,900.9432,2125.23,2509.0,901.0017,901.0016,2509.0,1987.4177
27,2509.0,2509.0,2509.0,2501.0,900.9972,2163.2238,2509.0,901.0017,901.0016,2509.0,1991.2224
28,2509.0,2509.0,2509.0,2501.0,900.9972,2287.1997,2509.0,901.0017,901.0016,2509.0,2003.62
29,2509.0,2509.0,2509.0,2501.0,900.9972,2287.1997,2509.0,901.0017,901.0016,2509.0,2003.62
30,2509.0,2509.0,2509.0,2501.0,900.9972,2287.1997,2509.0,901.0017,901.0016,2509.0,2003.62
31,2509.0,2509.0,2509.0,2501.0,900.9972,2488.2532,2509.0,901.0017,901.0016,2509.0,2023.7254
32,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
33,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
34,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
35,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
36,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
37,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
38,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
39,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
40,2509.0,2509.0,2509.0,2501.0,900.9972,2501.0,2509.0,901.0017,901.0016,2509.0,2025.0
